,CJPL_high__allDSNBMethod1,CJPL_high__allDSNBMethod2,CJPL_high__noelsebgMethod1,CJPL_high__noelsebgMethod2,CJPL_high__lessatmbgMethod1,CJPL_high__lessatmbgMethod2,CJPL_high__lessatmlesselseMethod1,CJPL_high__lessatmlesselseMethod2,CJPL_low__allDSNBMethod1,CJPL_low__allDSNBMethod2,CJPL_low__noelsebgMethod1,CJPL_low__noelsebgMethod2,CJPL_low__lessatmbgMethod1,CJPL_low__lessatmbgMethod2,CJPL_low__lessatmlesselseMethod1,CJPL_low__lessatmlesselseMethod2,Kamioka_high__allDSNBMethod1,Kamioka_high__allDSNBMethod2,Kamioka_high__noelsebgMethod1,Kamioka_high__noelsebgMethod2,Kamioka_high__lessatmbgMethod1,Kamioka_high__lessatmbgMethod2,Kamioka_high__lessatmlesselseMethod1,Kamioka_high__lessatmlesselseMethod2,Kamioka_low__allDSNBMethod1,Kamioka_low__allDSNBMethod2,Kamioka_low__noelsebgMethod1,Kamioka_low__noelsebgMethod2,Kamioka_low__lessatmbgMethod1,Kamioka_low__lessatmbgMethod2,Kamioka_low__lessatmlesselseMethod1,Kamioka_low__lessatmlesselseMethod2,LNGS_high__allDSNBMethod1,LNGS_high__allDSNBMethod2,LNGS_high__noelsebgMethod1,LNGS_high__noelsebgMethod2,LNGS_high__lessatmbgMethod1,LNGS_high__lessatmbgMethod2,LNGS_high__lessatmlesselseMethod1,LNGS_high__lessatmlesselseMethod2,LNGS_low__allDSNBMethod1,LNGS_low__allDSNBMethod2,LNGS_low__noelsebgMethod1,LNGS_low__noelsebgMethod2,LNGS_low__lessatmbgMethod1,LNGS_low__lessatmbgMethod2,LNGS_low__lessatmlesselseMethod1,LNGS_low__lessatmlesselseMethod2,SURF_high__allDSNBMethod1,SURF_high__allDSNBMethod2,SURF_high__noelsebgMethod1,SURF_high__noelsebgMethod2,SURF_high__lessatmbgMethod1,SURF_high__lessatmbgMethod2,SURF_high__lessatmlesselseMethod1,SURF_high__lessatmlesselseMethod2,SURF_low__allDSNBMethod1,SURF_low__allDSNBMethod2,SURF_low__noelsebgMethod1,SURF_low__noelsebgMethod2,SURF_low__lessatmbgMethod1,SURF_low__lessatmbgMethod2,SURF_low__lessatmlesselseMethod1,SURF_low__lessatmlesselseMethod2,SNOlab_high__allDSNBMethod1,SNOlab_high__allDSNBMethod2,SNOlab_high__noelsebgMethod1,SNOlab_high__noelsebgMethod2,SNOlab_high__lessatmbgMethod1,SNOlab_high__lessatmbgMethod2,SNOlab_high__lessatmlesselseMethod1,SNOlab_high__lessatmlesselseMethod2,SNOlab_low__allDSNBMethod1,SNOlab_low__allDSNBMethod2,SNOlab_low__noelsebgMethod1,SNOlab_low__noelsebgMethod2,SNOlab_low__lessatmbgMethod1,SNOlab_low__lessatmbgMethod2,SNOlab_low__lessatmlesselseMethod1,SNOlab_low__lessatmlesselseMethod2
"(0.001, 0.9)",7468518.812240737,-1,16721.263883516243,33876.216635608755,,-1,,17343.807584889633,6157166.063547095,-1,16721.263883516243,33603.559668261936,,-1,,17583.04564860855,7468655.898111639,-1,20128.829850311038,39293.92067644457,,-1,,21493.94511995496,6157303.149418072,-1,20128.829850311038,39467.02923822912,,-1,,21674.957832661967,7468847.941543907,-1,24884.74700870131,49787.02135018648,,-1,,29880.144588344163,6157495.19285044,-1,24884.74700870131,49572.04302751696,,-1,,29923.662594514666,7469194.124142174,-1,33640.11117064317,67186.29389495985,,-1,,69046.13318112193,6157841.375448893,-1,33640.11117064317,66790.28127349712,,-1,,68975.77937819305,7469204.839309605,-1,33855.246245749615,67677.53685850685,,-1,,58126.00286602969,6157852.090616333,-1,33855.246245749615,67344.73777285012,,-1,,58305.52983934555
"(0.001, 0.8)",6040822.69762549,-1,13168.767802033384,27172.93553748223,,-1,,14042.809262040264,4980138.148563692,-1,13168.767802033384,27216.973372396686,,-1,,13809.775419885866,6040933.579205838,-1,15922.600303686117,31544.89677607742,,-1,,17336.842462214023,4980249.030144087,-1,15922.600303686117,31786.642144245237,,-1,,17192.1936227266,6041088.913078869,-1,19767.142885821606,39857.75042082784,,-1,,23687.067839480336,4980404.364017184,-1,19767.142885821606,40104.63077214663,,-1,,23953.474507530642,6041368.922049389,-1,26846.34233384975,53398.94078713894,,-1,,54572.11087978925,4980684.372987828,-1,26846.34233384975,53685.511309924164,,-1,,54994.11586775631,6041377.588987062,-1,27020.30710933823,54479.10120834525,,-1,,46798.28975558112,4980693.039925505,-1,27020.30710933823,54586.802788894725,,-1,,46403.303435538
"(0.01, 0.9)",5086408.495029627,-1,11626.108455777168,22934.072795470136,,-1,,11757.737736281248,4193324.5499512753,-1,11626.108455777168,23046.361532495695,,-1,,11860.174359918958,5086501.856019277,-1,13947.915133688592,27407.81616123096,,-1,,14927.750181073054,4193417.9109409796,-1,13947.915133688592,27379.550065461222,,-1,,14948.539791656696,5086632.645317795,-1,17187.95629412829,34412.42773456556,,-1,,19686.491345362956,4193548.7002395755,-1,17187.95629412829,34488.88211838053,,-1,,19697.912943613468,5086868.409585554,-1,23151.916689241058,45549.43839237874,,-1,,46614.02031476665,4193784.464507473,-1,23151.916689241058,45530.22152002339,,-1,,46895.68796571465,5086875.707045382,-1,23298.454356620787,45948.865151098784,,-1,,39382.69471815237,4193791.761967307,-1,23298.454356620787,46129.62117408485,,-1,,39388.07077891923
"(0.01, 0.8)",3921414.4784409027,-1,8699.098736571606,17514.31251783395,,-1,,8923.914251676313,3232873.852290495,-1,8699.098736571606,17534.961667299354,,-1,,8551.918957919588,3921486.4569314234,-1,10487.802115142485,21005.266654534124,,-1,,11172.117705029732,3232945.8307810505,-1,10487.802115142485,20956.143465084733,,-1,,11043.951309361439,3921587.291512534,-1,12984.492622727372,26234.25340016138,,-1,,15317.638324146692,3233046.665362212,-1,12984.492622727372,26119.04943169907,,-1,,15463.104519074095,3921769.05861007,-1,17581.08037693519,34667.72332363966,,-1,,35810.0870106111,3233228.4324598396,-1,17581.08037693519,35128.165514416156,,-1,,35943.34136846129,3921774.684730198,-1,17694.03006568082,35239.7348441446,,-1,,30033.772958660964,3233234.0585799715,-1,17694.03006568082,35257.69372925462,,-1,,30096.42490531996
"(0.1, 0.9)",2568760.1353658596,-1,6156.533914626663,11588.445189433663,,-1,,6149.541442403461,2117740.6904158257,-1,6156.533914626663,11590.26526514408,,-1,,5934.334330578408,2568807.283925591,-1,7329.618830685741,13638.32831072886,,-1,,7216.95480290394,2117787.838975589,-1,7329.618830685741,13750.105414240114,,-1,,7768.807505444036,2568873.3342864187,-1,8966.401838637672,17406.07586163877,,-1,,10207.136225509868,2117853.889336459,-1,8966.401838637672,17437.661569652173,,-1,,9879.197393850553,2568992.398423408,-1,11978.866229370286,23177.38534944269,,-1,,24342.159401259734,2117972.9534735265,-1,11978.866229370286,23031.350841958938,,-1,,24297.672579524053,2568996.083739105,-1,12052.880401398856,23411.897341372973,,-1,,20690.482276123883,2117976.6387892268,-1,12052.880401398856,23283.639558124403,,-1,,20717.92118917275
"(0.1, 0.8)",1762746.4726248942,-1,4084.246397276462,7913.372429959174,,-1,,3804.6427750715857,1453241.0593582103,881511.0823235831,4084.246397276462,8249.440679860789,,-1,,4147.897493514142,1762778.8276256125,-1,4889.068188205449,9346.605289544048,,-1,,5100.2051320022165,1453273.4143589481,880164.3580134235,4889.068188205449,9354.484852995443,,-1,,4789.798319520408,1762824.1537073446,-1,6012.103915069013,11633.524959613464,,-1,,7054.757664484511,1453318.7404407077,880630.1417209957,6012.103915069013,11762.823300606742,,-1,,7028.538033882575,1762905.8597076896,-1,8079.157607594552,15833.410785576823,,-1,,15175.135651272993,1453400.4464411044,884007.729869255,8079.157607594552,15277.677778259593,,-1,,16369.031805544917,1762908.3887009965,-1,8129.944983066436,15704.163430334538,,-1,,13136.351852323221,1453402.9754344134,881850.0711700771,8129.944983066436,15595.64353629455,,-1,,13680.429791653605
