,CNO_nubb_only_SURF_high_nubb0,CNO_nubb_only_SURF_high_nubb0.0001,CNO_nubb_only_SURF_high_nubb0.001,CNO_nubb_only_SURF_high_nubb0.01,CNO_nubb_only_SURF_high_nubb0.1,CNO_nubb_only_SURF_high_nubb1,CNO_nubb_only_SURF_low_nubb0,CNO_nubb_only_SURF_low_nubb0.0001,CNO_nubb_only_SURF_low_nubb0.001,CNO_nubb_only_SURF_low_nubb0.01,CNO_nubb_only_SURF_low_nubb0.1,CNO_nubb_only_SURF_low_nubb1,CNO_all_SURF_high_nubb0,CNO_all_SURF_high_nubb0.0001,CNO_all_SURF_high_nubb0.001,CNO_all_SURF_high_nubb0.01,CNO_all_SURF_high_nubb0.1,CNO_all_SURF_high_nubb1,CNO_all_SURF_low_nubb0,CNO_all_SURF_low_nubb0.0001,CNO_all_SURF_low_nubb0.001,CNO_all_SURF_low_nubb0.01,CNO_all_SURF_low_nubb0.1,CNO_all_SURF_low_nubb1,pep_nubb_only_SURF_high_nubb0,pep_nubb_only_SURF_high_nubb0.0001,pep_nubb_only_SURF_high_nubb0.001,pep_nubb_only_SURF_high_nubb0.01,pep_nubb_only_SURF_high_nubb0.1,pep_nubb_only_SURF_high_nubb1,pep_nubb_only_SURF_low_nubb0,pep_nubb_only_SURF_low_nubb0.0001,pep_nubb_only_SURF_low_nubb0.001,pep_nubb_only_SURF_low_nubb0.01,pep_nubb_only_SURF_low_nubb0.1,pep_nubb_only_SURF_low_nubb1,pep_all_SURF_high_nubb0,pep_all_SURF_high_nubb0.0001,pep_all_SURF_high_nubb0.001,pep_all_SURF_high_nubb0.01,pep_all_SURF_high_nubb0.1,pep_all_SURF_high_nubb1,pep_all_SURF_low_nubb0,pep_all_SURF_low_nubb0.0001,pep_all_SURF_low_nubb0.001,pep_all_SURF_low_nubb0.01,pep_all_SURF_low_nubb0.1,pep_all_SURF_low_nubb1
"(0.001, 0.9)",49.84453997081436,50.80209922702466,60.604945518473045,157.01356996425255,1123.9461909534666,10898.239106517356,93.9597411675016,97.03981492034806,116.97475319399243,307.85433498120125,2218.1654824684515,21205.859447453615,264.7171357463526,265.53245863151835,273.8506361255239,375.19445403850955,1336.371206083531,11017.383622811423,515.5915861150962,517.9597146834747,538.15973205072,735.2917063304075,2640.0406297083337,21639.26072435823,181.07615468585058,183.20863975181334,217.81062613051387,574.5368653697558,4083.312315293316,39113.31141871352,167.12941704028387,170.62258772103965,205.60731348907586,548.7189747227958,3885.323862102433,37407.08436229002,952.7008845699578,957.0890464722202,993.7727807782153,1349.3209320486299,4878.528988796478,39588.82295292226,900.1162542424762,911.5511217229102,939.9019945292738,1275.5514005031996,4629.065896344542,38216.06018062365
"(0.01, 0.9)",33.61957926324251,34.52543696286646,41.45784389501311,108.82145260912243,770.9558090710726,7387.553726493993,64.41213209957775,65.68935974972092,78.21945375600589,210.3462829955967,1510.1627936828927,14467.105564696798,179.29776775814483,180.68109393486213,185.4324465177904,252.48942577329717,916.0749508792436,7542.030910939069,351.6682319024492,353.37154194446447,364.1517880988778,495.0278597031645,1802.4803820742331,14780.333489523759,123.1157992637565,125.79876978321533,148.94357430964826,387.39789004995714,2778.6634976892565,26612.54173689666,113.46461439955237,116.32073458725753,139.0214655741582,371.1970593241629,2644.2589814058188,25496.71938583938,645.5160053230627,649.3098412022026,674.1179785100715,924.1035113451327,3296.854448602998,27064.87769058228,615.7537223346661,617.4589939709217,639.3401224013272,881.1956515716406,3152.667651013134,25933.926853126006
"(0.1, 0.9)",17.049941412317366,17.461731757863898,20.853700196607534,54.58128959998503,388.17406939634486,3736.3072694869666,32.370035619645726,33.22002031833856,39.90661062872512,105.60531365150973,762.2322483060263,7325.335293157076,90.44820168733482,90.62301298378762,93.45696246723202,128.04033175156013,463.07584222022405,3785.4407439883057,176.46226467611174,177.71124047750925,183.9348739552915,248.5338920609889,906.7657229032777,7460.234925869952,61.92619539814575,63.077572902042455,75.37794665682551,195.5237372293732,1400.2981268798796,13383.792836190609,57.227925990426925,58.45477147566525,70.55200660479684,186.40077580189026,1332.663258907552,12786.134620042852,324.99522999645944,327.5990282036933,340.00696531381857,462.699773640274,1665.361723135035,13698.092798392701,309.5718754902024,310.2627116053995,322.4089850495706,441.19869816314906,1582.2602718448748,13064.867734969996
