,CJPL_high__allHEPMethod1,CJPL_high__allHEPMethod2,CJPL_high__no8BgMethod1,CJPL_high__no8BbgMethod2,CJPL_low__allHEPMethod1,CJPL_low__allHEPMethod2,CJPL_low__no8BgMethod1,CJPL_low__no8BbgMethod2,Kamioka_high__allHEPMethod1,Kamioka_high__allHEPMethod2,Kamioka_high__no8BgMethod1,Kamioka_high__no8BbgMethod2,Kamioka_low__allHEPMethod1,Kamioka_low__allHEPMethod2,Kamioka_low__no8BgMethod1,Kamioka_low__no8BbgMethod2,LNGS_high__allHEPMethod1,LNGS_high__allHEPMethod2,LNGS_high__no8BgMethod1,LNGS_high__no8BbgMethod2,LNGS_low__allHEPMethod1,LNGS_low__allHEPMethod2,LNGS_low__no8BgMethod1,LNGS_low__no8BbgMethod2,SURF_high__allHEPMethod1,SURF_high__allHEPMethod2,SURF_high__no8BgMethod1,SURF_high__no8BbgMethod2,SURF_low__allHEPMethod1,SURF_low__allHEPMethod2,SURF_low__no8BgMethod1,SURF_low__no8BbgMethod2,SNOlab_high__allHEPMethod1,SNOlab_high__allHEPMethod2,SNOlab_high__no8BgMethod1,SNOlab_high__no8BbgMethod2,SNOlab_low__allHEPMethod1,SNOlab_low__allHEPMethod2,SNOlab_low__no8BgMethod1,SNOlab_low__no8BbgMethod2
"(0.001, 0.9)",3800.2198584457224,2726.200260373903,,930.0667396395088,2927.3410060603646,2106.3598007727555,,905.0419451369655,3800.2447012575412,2722.5947048511894,,1005.0237613347736,2927.364261577481,2115.637956261595,,978.9293241930923,3800.2764175453513,2719.2472730990144,,1119.5251139000795,2927.3939521484385,2110.4075006043636,,1015.8095814742151,3800.3328546229163,2727.99976997163,,1287.6376585706798,2927.4467853403503,2114.9073141083277,,1215.3576712331471,3800.336164074844,2718.218236366095,,1311.4690365748259,2927.4498830704233,2105.502651715603,,1211.830071955183
"(0.001, 0.8)",3072.158600581737,2198.4075909086496,,716.8617346059248,2366.1863413367855,1700.979386301092,,691.5646062653012,3072.1786946220445,2202.3321112976787,,804.1609931336235,2366.205151493318,1695.5475127653358,,776.6258993252897,3072.2043482545832,2196.1306437638445,,884.552760025685,2366.2291666242,1698.4414703452621,,836.2737573886943,3072.2499972302166,2205.1280891426327,,965.6684987000303,2366.2719005958884,1690.5905323048937,,956.6395719518031,3072.252674071345,2201.465135667922,,995.4080879770879,2366.2744061857343,1695.4281860248386,,991.1243863368752
"(0.01, 0.9)",2589.1869875847606,1852.9744283504685,,617.6236029713535,1994.6859378066229,1432.4590789605184,,575.0490866414941,2589.2039065426143,1853.8829569754841,,678.1428095534667,1994.7017757549627,1433.574604137455,,649.2021266555511,2589.225506615129,1853.224780274659,,777.0022775287598,1994.7219962354027,1432.1613356613925,,755.7837285447158,2589.2639425435423,1852.920104678411,,847.4977126714991,1994.7579777773283,1434.6149846315436,,822.9413176996671,2589.266196413921,1853.381360459848,,843.1578535773839,1994.7600874568761,1430.5707421711973,,863.3788773964606
"(0.01, 0.8)",1994.9789867890606,1430.0721753834346,,477.4468803765376,1536.6761460049142,1102.429847437291,,474.09254452144603,1994.9920307872299,1431.5974170509717,,507.1483370015965,1536.6883565751532,1102.8310543414923,,477.29295297591835,1995.0086837813897,1427.5671658453552,,565.8570298872893,1536.7039459426258,1098.7888068900445,,540.0060683139535,1995.038316704659,1431.7883395931572,,678.8149368703585,1536.731686602942,1104.0616410155399,,644.9735904435229,1995.0400543696705,1424.0681016996748,,667.155635745532,1536.733313100879,1101.033542774519,,626.904097044082
"(0.1, 0.9)",1308.8509378750932,937.0301166852427,,308.70540156715737,1008.5782571576044,720.941849634079,,292.47422050857114,1308.8594821791726,937.3250987046997,,313.79353145576584,1008.5862555382566,716.4565030914966,,279.271348612704,1308.8703905098916,936.2304733497938,,342.18833745114654,1008.5964671575949,717.8749498552123,,320.11871966417425,1308.8898011770716,937.1309547151403,,484.5136851412907,1008.614638328671,718.9249105558107,,419.39041457854194,1308.890939412301,939.8727178736237,,478.7736146358949,1008.6157037457134,719.8381617318183,,366.38103770191447
"(0.1, 0.8)",897.5523616596142,643.4401363298455,,155.41146240072297,691.5151241653627,492.0884571048543,,159.0523566850464,897.5582250610097,642.173699193499,,193.75193537529458,691.5206129345528,493.5571690298291,,179.41003950145202,897.5657107404711,641.188785910247,,207.66824573332678,691.5276205057149,495.1521538848132,,209.92671827573636,897.5790310216746,642.971104322583,,304.80976816574497,691.540090200305,494.40408019849826,,252.60969014263964,897.5798121186449,641.8747088802043,,257.2464138187824,691.5408213268286,494.9239921474864,,229.30471761680522
