,CNO_high_ideal_allMethod2,CNO_high_ideal_noppBe7Method2,CNO_high__smear0.1all_allMethod2,CNO_high__smear0.1all_noppBe7Method2,CNO_low_ideal_allMethod2,CNO_low_ideal_noppBe7Method2,CNO_low__smear0.1all_allMethod2,CNO_low__smear0.1all_noppBe7Method2,pep_high_ideal_allMethod2,pep_high_ideal_noppBe7Method2,pep_high__smear0.1all_allMethod2,pep_high__smear0.1all_noppBe7Method2,pep_low_ideal_allMethod2,pep_low_ideal_noppBe7Method2,pep_low__smear0.1all_allMethod2,pep_low__smear0.1all_noppBe7Method2
"(0.001, 0.9)",38.648895439743555,18.82971424987229,39.49975402230591,25.963622431839394,74.106884174121,33.28120820832911,75.68086877062385,47.29218790495149,139.57708094506262,40.62788022616891,133.74984195397565,35.721213894171626,130.4467849343117,34.657222756653056,123.80263626611554,30.58307582019761
"(0.01, 0.9)",26.19628223772307,12.68850921199801,26.76296853210705,17.723138046846138,49.914383137115124,22.622674571091636,51.77594974128775,32.232258733157806,94.84908486131867,27.224522107381215,90.80185525194135,24.27813805148934,89.00480732619422,23.366315967187784,85.01044388151989,21.007036924949933
"(0.1, 0.9)",13.215179519847915,6.479868877966224,13.581605724937056,9.05192474880254,25.42324260119365,11.4719011042279,26.096479736851734,16.32884306258253,48.001098315786614,13.831411690582486,46.08269728718464,12.37879515662554,44.816038601688355,11.95717716424679,42.786904701270345,10.725159659461788
