,dsnb
0,"(9.0, 13.0, 3.5199999999999996, 3.7224999999999997, 1, 1)"
1,"(13.0, 17.0, 3.4187499999999997, 3.7562499999999996, 1, 1)"
2,"(17.0, 21.0, 3.3512499999999994, 3.5874999999999995, 1, 1)"
