,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",18093.004524347016,18279.434625287904,19987.236883230013,20260.840532734135,23923.426279450865,23637.382043456444,29907.172666260616,30437.77033087486,30268.738082227486,30116.568278072325
"(0.01, 0.9)",12356.62128002383,12328.084572973654,13813.158558630957,14232.614225604973,16575.389306981462,16746.023713939896,20244.774480150103,20517.582889994377,19962.015391091132,20562.934950152332
"(0.1, 0.9)",6058.049294898994,6599.600424407656,7230.88841465535,7037.781735256025,8312.18091491315,8594.947688607454,10377.801165407285,10762.353029320677,10235.618972722352,10616.621506275853
