,CNO_high_nubb0,CNO_low_nubb0,pep_high_nubb0,pep_low_nubb0
"(0.001, 0.9)",42.19277950863805,80.91510434965404,151.7463383197312,141.80703803836363
"(0.01, 0.9)",28.63252280975997,55.53140344080639,104.72855778896678,96.33897722953822
"(0.1, 0.9)",14.393090890907333,27.587930735624113,52.32481364176277,48.87687131067423
