,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",2236.6455288072625,2290.537875540064,1838.6653181016738,1845.9235381009535,1251.3022327798064,1269.1020323868722,810.1959789857194,800.118786197704,722.6587326359077,721.99257369919
"(0.01, 0.9)",1650.705356510891,1615.276745438959,1279.0818078696943,1302.5439597831305,867.1787464131529,901.2368680286397,501.8785452110993,559.401714111368,496.5386016290424,502.2903260869648
"(0.1, 0.9)",890.8153305544919,633.480885058687,638.1025322216506,681.9229048330728,364.0902874501583,447.8877833387637,320.29292614033625,262.9330568547001,250.87942520116576,250.68386192715272
