,atm_high_nullsum,atm_high_altersum,atm_low_nullsum,atm_low_altersum,hep_high_nullsum,hep_high_altersum,hep_low_nullsum,hep_low_altersum,dsnb_high_nullsum,dsnb_high_altersum,dsnb_low_nullsum,dsnb_low_altersum
CJPL,0.002355588292369068,0.008790014385730427,0.0023610965248917876,0.008795522618253152,14.656722905135288,14.87763040467868,12.058269729647273,12.286595764623002,0.0033299609731105573,0.004518683048807455,0.003332935053250238,0.004521657128947136
Kamioka,0.0034441006934495676,0.012005617130192792,0.0034096833920075507,0.011971199828750775,14.65778642653935,14.878693926082741,12.059333251051338,12.287659286027061,0.003995239160848019,0.005183961236544918,0.0039982132409877,0.005186935316684598
LNGS,0.00440426393172329,0.016404863560439294,0.004369996887768393,0.016370596516484398,14.659284698400576,14.880192197943972,12.060831522912567,12.289157557888293,0.005000245873266699,0.006188967948963599,0.00500321995340638,0.006191942029103279
SURF,0.005512022495060544,0.023040822797795613,0.005482280186582491,0.023011080489317562,14.661919289922263,14.882826789465655,12.06346611443425,12.291792149409977,0.006714320414995643,0.007903042490692541,0.006717294495135324,0.007906016570832224
SNOlab,0.005033624051517188,0.022542377657105078,0.005046631967718522,0.022555385573306413,14.66192230720964,14.882829806753035,12.06346913172163,12.291795166697355,0.006758488241602719,0.007947210317299617,0.006761462321742399,0.0079501843974393
