,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",6752.175469529944,5218.439306644748,6802.945053298406,5240.338617927155,6766.662059055698,5232.497349474156,6785.370259300225,5239.622539171486,6786.712783139174,5208.092601124522
"(0.01, 0.9)",4651.805895069976,3573.413327068746,4638.624574707459,3574.5372861300702,4654.19026084924,3569.6609108523717,4627.301220825383,3578.6435665957097,4641.310356646614,3571.1875040788264
"(0.1, 0.9)",2338.601637214175,1789.9976179493945,2332.242010829169,1782.290037859624,2345.319588996369,1793.2862088228499,2313.4747307503553,1814.4790738713396,2336.402729810177,1797.6332240332042
