,CJPL_0.001_N_alpha,CJPL_0.001_G,CJPL_0.001_mean,CJPL_0.005_N_alpha,CJPL_0.005_G,CJPL_0.005_mean,CJPL_0.01_N_alpha,CJPL_0.01_G,CJPL_0.01_mean,CJPL_0.05_N_alpha,CJPL_0.05_G,CJPL_0.05_mean,CJPL_0.1_N_alpha,CJPL_0.1_G,CJPL_0.1_mean,Kamioka_0.001_N_alpha,Kamioka_0.001_G,Kamioka_0.001_mean,Kamioka_0.005_N_alpha,Kamioka_0.005_G,Kamioka_0.005_mean,Kamioka_0.01_N_alpha,Kamioka_0.01_G,Kamioka_0.01_mean,Kamioka_0.05_N_alpha,Kamioka_0.05_G,Kamioka_0.05_mean,Kamioka_0.1_N_alpha,Kamioka_0.1_G,Kamioka_0.1_mean,LNGS_0.001_N_alpha,LNGS_0.001_G,LNGS_0.001_mean,LNGS_0.005_N_alpha,LNGS_0.005_G,LNGS_0.005_mean,LNGS_0.01_N_alpha,LNGS_0.01_G,LNGS_0.01_mean,LNGS_0.05_N_alpha,LNGS_0.05_G,LNGS_0.05_mean,LNGS_0.1_N_alpha,LNGS_0.1_G,LNGS_0.1_mean,SURF_0.001_N_alpha,SURF_0.001_G,SURF_0.001_mean,SURF_0.005_N_alpha,SURF_0.005_G,SURF_0.005_mean,SURF_0.01_N_alpha,SURF_0.01_G,SURF_0.01_mean,SURF_0.05_N_alpha,SURF_0.05_G,SURF_0.05_mean,SURF_0.1_N_alpha,SURF_0.1_G,SURF_0.1_mean,SNOlab_0.001_N_alpha,SNOlab_0.001_G,SNOlab_0.001_mean,SNOlab_0.005_N_alpha,SNOlab_0.005_G,SNOlab_0.005_mean,SNOlab_0.01_N_alpha,SNOlab_0.01_G,SNOlab_0.01_mean,SNOlab_0.05_N_alpha,SNOlab_0.05_G,SNOlab_0.05_mean,SNOlab_0.1_N_alpha,SNOlab_0.1_G,SNOlab_0.1_mean
0,4.393799386495658,3.9702686302458483,0.8132956866580461,3.5703028612745267,3.0571282747840733,0.8132956866580461,2.9912429547597412,2.4150333142417857,0.8132956866580461,1.9969197236905787,1.312470472924897,0.8132956866580461,1.6559522978568577,0.9343861618307076,0.8132956866580461,4.822954987888355,3.916205429526245,0.9686416000209263,3.8776912909558185,2.9557628163454153,0.9686416000209263,3.518600323326443,2.590905614657911,0.9686416000209263,2.435125495134698,1.4900324946163626,0.9686416000209263,1.8643722057327277,0.9101141262989701,0.9686416000209263,4.949475415663767,3.7886838756514902,1.056053939434055,3.9830568754021187,2.848263126710224,1.056053939434055,3.7056768135376337,2.5783449135834866,1.056053939434055,2.6045770749754222,1.5068660484146157,1.056053939434055,1.9586641178690982,0.8783289068275536,1.056053939434055,5.747726344461785,3.819651307110677,1.334780319315771,4.738638372114703,2.946229295918581,1.334780319315771,4.200628797291681,2.4805519538434937,1.334780319315771,2.9713202525336966,1.4165167349509642,1.334780319315771,2.4920509663730277,1.0016823941477526,1.334780319315771,5.66655344355108,3.847053375526645,1.29265188688742,4.6664495144962235,2.9674146487961974,1.29265188688742,4.06092056698958,2.434823288129764,1.29265188688742,2.9320206636249746,1.4419024078566307,1.29265188688742,2.426116699043841,0.9969359335497142,1.29265188688742
1,4.909964151116696,3.8302605672804413,1.0274635508113314,3.9485000458132378,2.8817332060458396,1.0274635508113314,3.647658854709888,2.5849399096826122,1.0274635508113314,2.5501956599062092,1.5022433612860635,1.0274635508113314,1.9255807287628346,0.8860327829013783,1.0274635508113314,5.479111862407261,3.8467973338666006,1.2237172213597702,4.504915777345829,2.9661422551275067,1.2237172213597702,3.9434334561915683,2.458572716172181,1.2237172213597702,2.845001902456848,1.4656110924527053,1.2237172213597702,2.2884166746309,0.9624684344680268,1.2237172213597702,5.746464363144968,3.820010895153899,1.3341481434850229,4.737482142593007,2.9464735320901707,1.3341481434850229,4.198537516222764,2.479876343192943,1.3341481434850229,2.970599226657436,1.416775375085605,1.3341481434850229,2.4909516409066663,1.0015152458958128,1.3341481434850229,6.5648499092331,3.7568973430656416,1.686272470068924,5.466279496818703,2.9109096929695775,1.686272470068924,4.899645634619911,2.474556006278816,1.686272470068924,3.668066636695228,1.5261410384370029,1.686272470068924,2.948812499219891,0.9722574541819555,1.686272470068924,6.418536430681832,3.744779921540945,1.6330502171011072,5.322819569886662,2.8873501188272503,1.6330502171011072,4.8257977882379715,2.498416350048537,1.6330502171011072,3.580908035365661,1.524254489993759,1.6330502171011072,2.8864659057549797,0.9808336488139923,1.6330502171011072
2,5.674017436012875,3.8460479918675152,1.2958511274084867,4.67307999662591,2.966763570630811,1.2958511274084867,4.073072481649171,2.43968041859374,1.2958511274084867,2.935858107368375,1.440682036113441,1.2958511274084867,2.4320827543588868,0.9981350773588943,1.2958511274084867,6.105381901942723,3.672160330651533,1.5433689493666758,5.029258623383344,2.8059424449296166,1.5433689493666758,4.690062148046682,2.5329086210504532,1.5433689493666758,3.4241050898956296,1.5138853658390539,1.5433689493666758,2.7843669516523537,0.9989326382420659,1.5433689493666758,6.5557321287771115,3.7567104328271594,1.682645943498261,5.457210936213074,2.9098495590642828,1.682645943498261,4.894862765209718,2.4763297811314624,1.682645943498261,3.6623663936941275,1.5261861142122433,1.682645943498261,2.9446485234612236,0.972890295419711,1.682645943498261,7.492981977771745,3.6796899504035463,2.1267499754431283,6.273786442999023,2.8436728801514026,2.1267499754431283,5.758727492495613,2.4904907510130485,2.1267499754431283,4.345337955661989,1.5213125133901946,2.1267499754431283,3.656442345493752,1.048928491880655,2.1267499754431283,7.316005308554525,3.662626543135789,2.0596253397739557,6.080110860103504,2.8014597632804494,2.0596253397739557,5.657902583312044,2.5072665636844214,2.0596253397739557,4.214011136658036,1.5011682280748346,2.0596253397739557,3.5686502377389435,1.0514830888113196,2.0596253397739557
3,6.431681067876309,3.7466076509602746,1.637435315804866,5.3355360282178195,2.8899921154775092,1.637435315804866,4.832196130592704,2.4966420018207334,1.637435315804866,3.588387886951449,1.5246306108860235,1.637435315804866,2.8917083298763373,0.9801894007796266,1.637435315804866,6.983846959926043,3.6044872073181677,1.9501984213754648,5.9096935039289615,2.8353090731703783,1.9501984213754648,5.449659313327045,2.505888506308345,1.9501984213754648,3.9848594434044977,1.456976896373526,1.9501984213754648,3.401647435977308,1.0393513502461105,1.9501984213754648,7.4915730927431445,3.679594469524062,2.126188598060564,6.2722301837509,2.843365970182063,2.126188598060564,5.757860103631319,2.490609647877033,2.126188598060564,4.344221383844886,1.521132582368242,2.126188598060564,3.6556534014924815,1.0489108912170768,2.126188598060564,8.632222149994263,3.6264293143833775,2.6873577095557524,7.323779201888398,2.8282654688072255,2.6873577095557524,6.748779292211411,2.477509526579785,2.6873577095557524,5.169419173917686,1.5140833814874182,2.6873577095557524,4.451736833384349,1.076289668241134,2.6873577095557524,8.44446592121272,3.621241392422577,2.602539132266672,7.094349449984655,2.7843432547304707,2.602539132266672,6.6102466415693355,2.484261930305342,2.602539132266672,4.98972773492367,1.479749146431963,2.602539132266672,4.31140981163592,1.05927949150928,2.602539132266672
4,7.35109559414736,3.6687289171379067,2.071193015355824,6.117914645422435,2.8118557951178818,2.071193015355824,5.678086789351632,2.506242358117866,2.071193015355824,4.239551117899135,1.5066789499990543,2.071193015355824,3.5860250877652513,1.052577797738157,2.071193015355824,8.058316013128852,3.560093447068697,2.466807274719959,6.891965860201346,2.8174825113293096,2.466807274719959,6.357678642117994,2.477303766568488,2.466807274719959,4.849390954366258,1.5169824356592694,2.466807274719959,4.07529297259073,1.024117042571757,2.466807274719959,8.63629904548035,3.6262704866688638,2.6894173657587266,7.328822330848994,2.829001518220783,2.6894173657587266,6.751898803544522,2.477206935311402,2.6894173657587266,5.173808940463674,1.5149243468894873,2.6894173657587266,4.454986203678239,1.0766029179564023,2.6894173657587266,9.909030461270246,3.530823625983524,3.3992405465241635,8.59832376058962,2.8199137124370157,3.3992405465241635,7.893543300206647,2.4376501473694465,3.3992405465241635,6.234343029309912,1.5377219479278574,3.3992405465241635,5.420216434654719,1.09615049130702,3.3992405465241635,9.764600411231129,3.5674268298607172,3.2919534719399626,8.398032343434828,2.814237039715709,3.2919534719399626,7.758289402481448,2.461640002803786,3.2919534719399626,6.023271379997415,1.5053774564676419,3.2919534719399626,5.255037618438439,1.0819621584766714,3.2919534719399626
5,8.477319327948978,3.623770004768017,2.616101125416715,7.134109239614927,2.7933139016146145,2.616101125416715,6.633810931294572,2.4839983394770004,2.616101125416715,5.008678742010884,1.4792404414064428,2.616101125416715,4.334750632873762,1.0625761264341689,2.616101125416715,9.431987022035877,3.578249254898808,3.11579714673398,7.9847571574667935,2.7583642788610816,3.11579714673398,7.472944958389272,2.4684123210900646,3.11579714673398,5.81858530749486,1.5311841336830745,3.11579714673398,4.965085967955105,1.0476595031606615,3.11579714673398,9.906086355047258,3.531634260468689,3.3969735051795436,8.59428462354405,2.819893037851381,3.3969735051795436,7.890688215538283,2.438144366816069,3.3969735051795436,6.229980597309281,1.5370980865571402,3.3969735051795436,5.4166961877835424,1.0958362509685131,3.3969735051795436,11.586520649842054,3.5196293820609896,4.29354336046573,9.981020964422159,2.744806749070619,4.29354336046573,9.356946094995156,2.4436249189501806,4.29354336046573,7.534987454703096,1.5643380503878608,4.29354336046573,6.605414245452998,1.1157211069593747,4.29354336046573,11.309171605320762,3.5069658919723485,4.158030236154534,9.822704332831607,2.7779927455834907,4.158030236154534,9.071658927664922,2.409675230480414,4.158030236154534,7.326236498338611,1.553708803481283,4.158030236154534,6.42246114915483,1.1104915378768048,4.158030236154534
6,9.774698250139984,3.559092501882668,3.3046914734538606,8.415215616021916,2.8112533393389216,3.3046914734538606,7.766701153104906,2.4545113695086216,3.3046914734538606,6.041186956145196,1.5053215382984457,3.3046914734538606,5.266811121988833,1.0793443608221829,3.3046914734538606,10.886362262218837,3.5034026147021784,3.935913701418364,9.486325579974247,2.7977082799627566,3.935913701418364,8.783700249117054,2.4435470485331727,3.935913701418364,6.957894974224618,1.5232422771158718,3.935913701418364,6.075979080004369,1.07870888869773,3.935913701418364,11.58196677584851,3.5196131839383606,4.291099173900377,9.978236145110381,2.745423913250812,4.291099173900377,9.352129647087171,2.4431755656874645,4.291099173900377,7.531293691315462,1.564180282051987,4.291099173900377,6.602100463170606,1.115619025044519,4.291099173900377,13.504976330871093,3.4700531418919014,5.423657364153082,11.830373842254819,2.750992348601267,5.423657364153082,10.997831833803865,2.393505529422356,5.423657364153082,9.00061639558376,1.535917339304762,5.423657364153082,7.993536610156263,1.1034854073453004,5.423657364153082,13.151015829203423,3.446393180408557,5.2524755003858825,11.601243652625492,2.7701765583248275,5.2524755003858825,10.81192367835159,2.425770267636801,5.2524755003858825,8.821499572334728,1.5572827016406339,5.2524755003858825,7.8168062800868325,1.118901941821973,5.2524755003858825
7,11.34925429307279,3.5112178135032917,4.174917858177969,9.845361373415026,2.7751921675048226,4.174917858177969,9.111865839029399,2.416209478327703,4.174917858177969,7.355160140121122,1.5564538202171536,4.174917858177969,6.44760240487168,1.1122827229026653,4.174917858177969,12.739939821525814,3.48340861471548,4.972360213440755,11.076569820342723,2.7374622988837816,4.972360213440755,10.408765601667579,2.4379822696279474,4.972360213440755,8.466932257336945,1.5671577217929389,4.972360213440755,7.482352723160305,1.1256182713760305,4.972360213440755,13.500098016030645,3.469892021208633,5.421076889094816,11.826992053273365,2.751302858042284,5.421076889094816,10.994977832289461,2.3939576473336777,5.421076889094816,8.997772693683288,1.5361697957756202,5.421076889094816,7.9906856666725545,1.1036318453503515,5.421076889094816,15.806553156440192,3.4209401929652437,6.851872305820957,13.962792345342919,2.716571654307533,6.851872305820957,13.142858072819848,2.403333677962466,6.851872305820957,10.931254774200674,1.5584389529184508,6.851872305820957,9.82976753266972,1.137639815634727,6.851872305820957,15.484137579779066,3.435028426357919,6.635613019355422,13.70626900759734,2.7448535794589004,6.635613019355422,12.846161730539865,2.410956902534462,6.635613019355422,10.686879102649852,1.5727157746838876,6.635613019355422,9.58067547391699,1.1432836265229362,6.635613019355422
8,13.208123304997201,3.4536437315323067,5.275578020788525,11.638087318287715,2.770086972698087,5.275578020788525,10.841854449712901,2.4234259002592533,5.275578020788525,8.84971253636762,1.5560941442030956,5.275578020788525,7.844330389547333,1.1183743928803325,5.275578020788525,14.875437352229527,3.4277656908574863,6.283255178802409,13.122247717798942,2.728348109017371,6.283255178802409,12.35859259333136,2.4236954861489948,6.283255178802409,10.20162307109563,1.5631939307454203,6.283255178802409,9.105598868894715,1.1259459673266878,6.283255178802409,15.804363273468725,3.421115829481471,6.850269887128904,13.960957397065703,2.716800523417921,6.850269887128904,13.139650977388929,2.4030016526693183,6.850269887128904,10.929419556479091,1.5585322715003025,6.850269887128904,9.827875035319597,1.13766203532804,6.850269887128904,18.646591278191984,3.394506132918538,8.658275004628301,16.678799468739445,2.7257566477652913,8.658275004628301,15.74472964646462,2.408315183814254,8.658275004628301,13.304913597019357,1.579149354839143,8.658275004628301,12.024300121060914,1.143935833462722,8.658275004628301,18.18044136949625,3.382769000945224,8.385001906276397,16.2647804381427,2.7212123204882834,8.385001906276397,15.36737023822776,2.4112995884661057,8.385001906276397,12.927840369078742,1.5688293706444925,8.385001906276397,11.73285631226319,1.156152120256927,8.385001906276397
9,15.539195031941066,3.43654317373603,6.666313644973784,13.749441469505525,2.7433562461285326,6.666313644973784,12.884033584472206,2.408176338936615,6.666313644973784,10.726638315585904,1.5725986206058502,6.666313644973784,9.62069779096583,1.1442583560753679,6.666313644973784,17.541584374262836,3.407684179064346,7.939632314838192,15.63983820756858,2.732764091489091,7.939632314838192,14.735246817476476,2.4117291863513333,7.939632314838192,12.387544512217156,1.5785415227103152,7.939632314838192,11.167105479370894,1.1454138880372466,7.939632314838192,18.643295171885622,3.3945396630455886,8.656122123561138,16.67574987632449,2.7257908076583752,8.656122123561138,15.741882306043994,2.4083786138363226,8.656122123561138,13.30161210626408,1.578955318413319,8.656122123561138,12.020870193757599,1.1436440247076904,8.656122123561138,21.980180695862074,3.337514557150071,10.940749350658269,19.868572841954244,2.699119178707714,10.940749350658269,18.8551494869418,2.3927342668273233,10.940749350658269,16.168623537926333,1.5805258130924262,10.940749350658269,14.802494459712024,1.16750855315293,10.940749350658269,21.558799320858164,3.3680951528549388,10.595436632853884,19.424777602380836,2.712494457098056,10.595436632853884,18.41978219169758,2.4037461042712907,10.595436632853884,15.758298131906075,1.5861017540581321,10.595436632853884,14.40832999804111,1.1713730565250124,10.595436632853884
