,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",2265.663170757233,2272.960282182332,1622.3080709829148,1799.8186452746932,1230.82311946458,1124.805072292535,787.6903283011802,779.5122845574281,775.8737169879796,762.767835973825
"(0.01, 0.9)",1571.4662796285888,1568.4903442324148,1188.2068459903046,1153.0920711722044,812.6494684439403,868.5175753082463,560.6651376567679,480.6785439726752,537.6660411952072,536.3121189093329
"(0.1, 0.9)",744.0380844869588,793.476045660107,532.3790703959206,589.145215719167,427.68704576818817,425.6105365122024,262.87883334246584,258.5638226917553,255.86956569182414,257.0242262561953
