,hep
0,"(1.0, 3.4, 1.9, 3.58, 1, 1)"
1,"(3.4, 5.8, 1.9, 3.58, 1, 1)"
2,"(5.8, 8.2, 1.9, 3.58, 1, 1)"
3,"(8.2, 10.6, 1.9, 3.58, 1, 1)"
4,"(10.6, 13.0, 2.32, 3.37, 1, 1)"
