,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",51074.042480575066,51819.111008256164,60133.694927135104,59806.148762822115,72819.69709088175,73450.75576199888,95828.90180037884,95655.93151743479,97283.10480266839,96431.1430610878
"(0.01, 0.9)",35704.29713762603,35350.31239229241,40981.669374898614,41697.56846135411,50651.4527342999,50365.21004380664,66259.61772242493,65321.1437841774,66729.78362464612,66686.45715879205
"(0.1, 0.9)",18135.733247663873,17731.437696863442,21470.017645849337,20428.149222187454,26033.408017873997,25513.93607721421,33569.43317138052,32709.67882539566,33284.68261565683,33509.892607371454
