,null_sum,alter_sum
CNO_all_Kamioka_low_nubb0.01,3574.7319532237607,3584.4743121683505
CNO_all_Kamioka_low_nubb0.1,12992.354953016951,13002.097311961537
CNO_all_Kamioka_low_nubb1,107168.58495094885,107178.32730989339
CNO_all_LNGS_high_nubb0,2539.7544368699228,2553.402765800634
CNO_all_LNGS_high_nubb0.0001,2550.2184624252473,2563.86679135596
CNO_all_LNGS_high_nubb0.001,2644.3946924231777,2658.0430213538925
CNO_all_LNGS_high_nubb0.01,3586.156992402498,3599.805321333212
CNO_all_LNGS_high_nubb0.1,13003.779992195681,13017.428321126403
CNO_all_LNGS_high_nubb1,107180.0099901276,107193.6583190583
CNO_all_LNGS_low_nubb0,2528.3382181233947,2538.0805770679835
CNO_all_LNGS_low_nubb0.0001,2538.8022436787196,2548.544602623308
CNO_all_LNGS_low_nubb0.001,2632.9784736766524,2642.7208326212376
CNO_all_LNGS_low_nubb0.01,3574.7407736559703,3584.48313260056
CNO_all_LNGS_low_nubb0.1,12992.363773449162,13002.106132393747
CNO_all_LNGS_low_nubb1,107168.59377138106,107178.3361303256
CNO_all_SURF_high_nubb0,2539.7690189364243,2553.4173478671355
CNO_all_SURF_high_nubb0.0001,2550.2330444917484,2563.881373422461
CNO_all_SURF_high_nubb0.001,2644.409274489679,2658.0576034203937
CNO_all_SURF_high_nubb0.01,3586.171574468999,3599.819903399713
CNO_all_SURF_high_nubb0.1,13003.794574262183,13017.442903192903
CNO_all_SURF_high_nubb1,107180.0245721941,107193.67290112481
CNO_all_SURF_low_nubb0,2528.3528001898962,2538.095159134485
CNO_all_SURF_low_nubb0.0001,2538.816825745221,2548.5591846898096
CNO_all_SURF_low_nubb0.001,2632.9930557431535,2642.735414687739
CNO_all_SURF_low_nubb0.01,3574.7553557224714,3584.4977146670612
CNO_all_SURF_low_nubb0.1,12992.378355515662,13002.120714460249
CNO_all_SURF_low_nubb1,107168.60835344756,107178.3507123921
CNO_all_SNOlab_high_nubb0,2539.7695908034443,2553.4179197341555
CNO_all_SNOlab_high_nubb0.0001,2550.2336163587684,2563.881945289481
CNO_all_SNOlab_high_nubb0.001,2644.409846356699,2658.0581752874136
CNO_all_SNOlab_high_nubb0.01,3586.172146336019,3599.820475266733
CNO_all_SNOlab_high_nubb0.1,13003.795146129203,13017.443475059923
CNO_all_SNOlab_high_nubb1,107180.02514406112,107193.67347299182
CNO_all_SNOlab_low_nubb0,2528.3533720569158,2538.0957310015046
CNO_all_SNOlab_low_nubb0.0001,2538.817397612241,2548.559756556829
CNO_all_SNOlab_low_nubb0.001,2632.9936276101735,2642.735986554759
CNO_all_SNOlab_low_nubb0.01,3574.7559275894914,3584.498286534081
CNO_all_SNOlab_low_nubb0.1,12992.378927382682,13002.121286327269
CNO_all_SNOlab_low_nubb1,107168.60892531458,107178.35128425912
pep_nubb_only_CJPL_high_nubb0,479.85953685354167,487.05732586216595
pep_nubb_only_CJPL_high_nubb0.0001,490.3235624088674,497.52135141749176
pep_nubb_only_CJPL_high_nubb0.001,584.4997924067991,591.6975814154233
pep_nubb_only_CJPL_high_nubb0.01,1526.2620923861177,1533.4598813947423
pep_nubb_only_CJPL_high_nubb0.1,10943.885092179306,10951.082881187933
pep_nubb_only_CJPL_high_nubb1,105120.1150901112,105127.31287911984
pep_nubb_only_CJPL_low_nubb0,464.3873941832046,471.73513712951353
pep_nubb_only_CJPL_low_nubb0.0001,474.85141973853047,482.1991626848392
pep_nubb_only_CJPL_low_nubb0.001,569.0276497364625,576.3753926827711
pep_nubb_only_CJPL_low_nubb0.01,1510.789949715781,1518.1376926620899
pep_nubb_only_CJPL_low_nubb0.1,10928.41294950897,10935.760692455273
pep_nubb_only_CJPL_low_nubb1,105104.64294744087,105111.99069038713
pep_nubb_only_Kamioka_high_nubb0,479.86508884836763,487.0628778569919
pep_nubb_only_Kamioka_high_nubb0.0001,490.3291144036933,497.52690341231767
pep_nubb_only_Kamioka_high_nubb0.001,584.505344401625,591.7031334102493
pep_nubb_only_Kamioka_high_nubb0.01,1526.2676443809437,1533.4654333895683
pep_nubb_only_Kamioka_high_nubb0.1,10943.890644174131,10951.088433182758
pep_nubb_only_Kamioka_high_nubb1,105120.12064210602,105127.31843111466
pep_nubb_only_Kamioka_low_nubb0,464.39294617803057,471.7406891243395
pep_nubb_only_Kamioka_low_nubb0.0001,474.8569717333563,482.2047146796652
pep_nubb_only_Kamioka_low_nubb0.001,569.0332017312884,576.3809446775971
pep_nubb_only_Kamioka_low_nubb0.01,1510.795501710607,1518.1432446569158
pep_nubb_only_Kamioka_low_nubb0.1,10928.418501503795,10935.766244450098
pep_nubb_only_Kamioka_low_nubb1,105104.64849943567,105111.99624238195
pep_nubb_only_LNGS_high_nubb0,479.87390928057727,487.07169828920155
pep_nubb_only_LNGS_high_nubb0.0001,490.337934835903,497.53572384452735
pep_nubb_only_LNGS_high_nubb0.001,584.5141648338347,591.711953842459
pep_nubb_only_LNGS_high_nubb0.01,1526.2764648131533,1533.4742538217781
pep_nubb_only_LNGS_high_nubb0.1,10943.89946460634,10951.09725361497
pep_nubb_only_LNGS_high_nubb1,105120.12946253824,105127.32725154687
pep_nubb_only_LNGS_low_nubb0,464.4017666102402,471.7495095565491
pep_nubb_only_LNGS_low_nubb0.0001,474.86579216556606,482.2135351118748
pep_nubb_only_LNGS_low_nubb0.001,569.0420221634981,576.3897651098067
pep_nubb_only_LNGS_low_nubb0.01,1510.8043221428165,1518.1520650891257
pep_nubb_only_LNGS_low_nubb0.1,10928.427321936004,10935.775064882308
pep_nubb_only_LNGS_low_nubb1,105104.65731986788,105112.00506281416
pep_nubb_only_SURF_high_nubb0,479.8884913470786,487.0862803557029
pep_nubb_only_SURF_high_nubb0.0001,490.3525169024043,497.55030591102866
pep_nubb_only_SURF_high_nubb0.001,584.528746900336,591.7265359089603
pep_nubb_only_SURF_high_nubb0.01,1526.2910468796547,1533.4888358882793
pep_nubb_only_SURF_high_nubb0.1,10943.914046672842,10951.11183568147
pep_nubb_only_SURF_high_nubb1,105120.14404460473,105127.34183361338
pep_nubb_only_SURF_low_nubb0,464.41634867674156,471.7640916230505
pep_nubb_only_SURF_low_nubb0.0001,474.8803742320673,482.2281171783762
pep_nubb_only_SURF_low_nubb0.001,569.0566042299995,576.4043471763081
pep_nubb_only_SURF_low_nubb0.01,1510.818904209318,1518.1666471556268
pep_nubb_only_SURF_low_nubb0.1,10928.441904002506,10935.78964694881
pep_nubb_only_SURF_low_nubb1,105104.67190193439,105112.01964488067
pep_nubb_only_SNOlab_high_nubb0,479.88906321409854,487.08685222272277
pep_nubb_only_SNOlab_high_nubb0.0001,490.3530887694243,497.5508777780486
pep_nubb_only_SNOlab_high_nubb0.001,584.529318767356,591.7271077759802
pep_nubb_only_SNOlab_high_nubb0.01,1526.2916187466747,1533.4894077552992
pep_nubb_only_SNOlab_high_nubb0.1,10943.914618539862,10951.11240754849
pep_nubb_only_SNOlab_high_nubb1,105120.14461647176,105127.34240548039
pep_nubb_only_SNOlab_low_nubb0,464.41692054376153,471.76466349007046
pep_nubb_only_SNOlab_low_nubb0.0001,474.8809460990873,482.2286890453961
pep_nubb_only_SNOlab_low_nubb0.001,569.0571760970194,576.404919043328
pep_nubb_only_SNOlab_low_nubb0.01,1510.8194760763379,1518.1672190226468
pep_nubb_only_SNOlab_low_nubb0.1,10928.442475869524,10935.79021881583
pep_nubb_only_SNOlab_low_nubb1,105104.6724738014,105112.02021674768
pep_all_CJPL_high_nubb0,2546.1906043649747,2553.3883933735983
pep_all_CJPL_high_nubb0.0001,2556.6546299202996,2563.852418928924
pep_all_CJPL_high_nubb0.001,2650.830859918232,2658.0286489268565
pep_all_CJPL_high_nubb0.01,3592.5931598975503,3599.7909489061763
pep_all_CJPL_high_nubb0.1,13010.216159690737,13017.413948699366
pep_all_CJPL_high_nubb1,107186.44615762262,107193.64394663126
pep_all_CJPL_low_nubb0,2530.7184616946383,2538.066204640948
pep_all_CJPL_low_nubb0.0001,2541.182487249964,2548.5302301962724
pep_all_CJPL_low_nubb0.001,2635.3587172478947,2642.706460194202
pep_all_CJPL_low_nubb0.01,3577.1210172272145,3584.4687601735245
pep_all_CJPL_low_nubb0.1,12994.744017020403,13002.091759966712
pep_all_CJPL_low_nubb1,107170.97401495227,107178.32175789856
pep_all_Kamioka_high_nubb0,2546.1961563598006,2553.3939453684243
pep_all_Kamioka_high_nubb0.0001,2556.6601819151256,2563.85797092375
pep_all_Kamioka_high_nubb0.001,2650.8364119130574,2658.0342009216824
pep_all_Kamioka_high_nubb0.01,3592.5987118923763,3599.7965009010027
pep_all_Kamioka_high_nubb0.1,13010.221711685563,13017.419500694192
pep_all_Kamioka_high_nubb1,107186.45170961745,107193.6494986261
pep_all_Kamioka_low_nubb0,2530.7240136894648,2538.071756635774
pep_all_Kamioka_low_nubb0.0001,2541.18803924479,2548.5357821910984
pep_all_Kamioka_low_nubb0.001,2635.3642692427206,2642.7120121890284
pep_all_Kamioka_low_nubb0.01,3577.126569222041,3584.4743121683505
pep_all_Kamioka_low_nubb0.1,12994.749569015228,13002.097311961537
pep_all_Kamioka_low_nubb1,107170.9795669471,107178.32730989339
pep_all_LNGS_high_nubb0,2546.2049767920103,2553.402765800634
pep_all_LNGS_high_nubb0.0001,2556.6690023473357,2563.86679135596
pep_all_LNGS_high_nubb0.001,2650.8452323452675,2658.0430213538925
pep_all_LNGS_high_nubb0.01,3592.607532324586,3599.805321333212
pep_all_LNGS_high_nubb0.1,13010.230532117772,13017.428321126403
pep_all_LNGS_high_nubb1,107186.46053004966,107193.6583190583
pep_all_LNGS_low_nubb0,2530.732834121674,2538.0805770679835
pep_all_LNGS_low_nubb0.0001,2541.196859677,2548.544602623308
pep_all_LNGS_low_nubb0.001,2635.3730896749303,2642.7208326212376
pep_all_LNGS_low_nubb0.01,3577.13538965425,3584.48313260056
pep_all_LNGS_low_nubb0.1,12994.758389447437,13002.106132393747
pep_all_LNGS_low_nubb1,107170.98838737932,107178.3361303256
pep_all_SURF_high_nubb0,2546.2195588585114,2553.4173478671355
pep_all_SURF_high_nubb0.0001,2556.683584413837,2563.881373422461
pep_all_SURF_high_nubb0.001,2650.8598144117686,2658.0576034203937
pep_all_SURF_high_nubb0.01,3592.622114391087,3599.819903399713
pep_all_SURF_high_nubb0.1,13010.245114184274,13017.442903192903
pep_all_SURF_high_nubb1,107186.47511211617,107193.67290112481
pep_all_SURF_low_nubb0,2530.747416188175,2538.095159134485
pep_all_SURF_low_nubb0.0001,2541.211441743501,2548.5591846898096
pep_all_SURF_low_nubb0.001,2635.387671741432,2642.735414687739
pep_all_SURF_low_nubb0.01,3577.149971720752,3584.4977146670612
pep_all_SURF_low_nubb0.1,12994.77297151394,13002.120714460249
pep_all_SURF_low_nubb1,107171.0029694458,107178.3507123921
pep_all_SNOlab_high_nubb0,2546.2201307255314,2553.4179197341555
pep_all_SNOlab_high_nubb0.0001,2556.6841562808568,2563.881945289481
pep_all_SNOlab_high_nubb0.001,2650.8603862787886,2658.0581752874136
pep_all_SNOlab_high_nubb0.01,3592.622686258107,3599.820475266733
pep_all_SNOlab_high_nubb0.1,13010.245686051294,13017.443475059923
pep_all_SNOlab_high_nubb1,107186.47568398318,107193.67347299182
pep_all_SNOlab_low_nubb0,2530.747988055195,2538.0957310015046
pep_all_SNOlab_low_nubb0.0001,2541.212013610521,2548.559756556829
pep_all_SNOlab_low_nubb0.001,2635.3882436084514,2642.735986554759
pep_all_SNOlab_low_nubb0.01,3577.150543587772,3584.498286534081
pep_all_SNOlab_low_nubb0.1,12994.773543380961,13002.121286327269
pep_all_SNOlab_low_nubb1,107171.00354131284,107178.35128425912
