,CJPL,Kamioka,LNGS,SURF,SNOlab
22,"(21.0, 25.0, 3.404, 3.431, 1, 1)","(17.0, 21.0, 3.701, 3.728, 1, 1)","(17.0, 21.0, 3.512, 3.539, 1, 1)","(17.0, 21.0, 3.404, 3.431, 1, 1)","(17.0, 21.0, 3.431, 3.458, 1, 1)"
23,"(21.0, 25.0, 3.431, 3.458, 1, 1)","(17.0, 21.0, 3.728, 3.755, 1, 1)","(17.0, 21.0, 3.539, 3.566, 1, 1)","(17.0, 21.0, 3.431, 3.458, 1, 1)","(17.0, 21.0, 3.458, 3.485, 1, 1)"
24,"(21.0, 25.0, 3.458, 3.485, 1, 1)","(17.0, 21.0, 3.755, 3.782, 1, 1)","(17.0, 21.0, 3.566, 3.593, 1, 1)","(17.0, 21.0, 3.458, 3.485, 1, 1)","(17.0, 21.0, 3.485, 3.512, 1, 1)"
25,"(21.0, 25.0, 3.485, 3.512, 1, 1)","(17.0, 21.0, 3.782, 3.809, 1, 1)","(17.0, 21.0, 3.593, 3.62, 1, 1)","(17.0, 21.0, 3.485, 3.512, 1, 1)","(17.0, 21.0, 3.512, 3.539, 1, 1)"
26,"(21.0, 25.0, 3.512, 3.539, 1, 1)","(21.0, 25.0, 3.35, 3.377, 1, 1)","(17.0, 21.0, 3.62, 3.647, 1, 1)","(17.0, 21.0, 3.512, 3.539, 1, 1)","(17.0, 21.0, 3.539, 3.566, 1, 1)"
27,"(21.0, 25.0, 3.539, 3.566, 1, 1)","(21.0, 25.0, 3.377, 3.404, 1, 1)","(17.0, 21.0, 3.647, 3.674, 1, 1)","(17.0, 21.0, 3.539, 3.566, 1, 1)","(17.0, 21.0, 3.566, 3.593, 1, 1)"
28,"(21.0, 25.0, 3.566, 3.593, 1, 1)","(21.0, 25.0, 3.404, 3.431, 1, 1)","(17.0, 21.0, 3.674, 3.701, 1, 1)","(17.0, 21.0, 3.566, 3.593, 1, 1)","(17.0, 21.0, 3.593, 3.62, 1, 1)"
29,"(21.0, 25.0, 3.593, 3.62, 1, 1)","(21.0, 25.0, 3.431, 3.458, 1, 1)","(17.0, 21.0, 3.701, 3.728, 1, 1)","(17.0, 21.0, 3.593, 3.62, 1, 1)","(17.0, 21.0, 3.62, 3.647, 1, 1)"
30,"(21.0, 25.0, 3.62, 3.647, 1, 1)","(21.0, 25.0, 3.458, 3.485, 1, 1)","(17.0, 21.0, 3.728, 3.755, 1, 1)","(17.0, 21.0, 3.62, 3.647, 1, 1)","(17.0, 21.0, 3.647, 3.674, 1, 1)"
31,"(21.0, 25.0, 3.647, 3.674, 1, 1)","(21.0, 25.0, 3.485, 3.512, 1, 1)","(17.0, 21.0, 3.755, 3.782, 1, 1)","(17.0, 21.0, 3.647, 3.674, 1, 1)","(17.0, 21.0, 3.674, 3.701, 1, 1)"
32,"(21.0, 25.0, 3.674, 3.701, 1, 1)","(21.0, 25.0, 3.512, 3.539, 1, 1)","(17.0, 21.0, 3.782, 3.809, 1, 1)","(17.0, 21.0, 3.674, 3.701, 1, 1)","(17.0, 21.0, 3.701, 3.728, 1, 1)"
33,"(21.0, 25.0, 3.701, 3.728, 1, 1)","(21.0, 25.0, 3.539, 3.566, 1, 1)","(21.0, 25.0, 3.35, 3.377, 1, 1)","(17.0, 21.0, 3.701, 3.728, 1, 1)","(17.0, 21.0, 3.728, 3.755, 1, 1)"
34,"(21.0, 25.0, 3.728, 3.755, 1, 1)","(21.0, 25.0, 3.566, 3.593, 1, 1)","(21.0, 25.0, 3.377, 3.404, 1, 1)","(17.0, 21.0, 3.728, 3.755, 1, 1)","(17.0, 21.0, 3.755, 3.782, 1, 1)"
35,"(21.0, 25.0, 3.755, 3.782, 1, 1)","(21.0, 25.0, 3.593, 3.62, 1, 1)","(21.0, 25.0, 3.404, 3.431, 1, 1)","(17.0, 21.0, 3.755, 3.782, 1, 1)","(17.0, 21.0, 3.782, 3.809, 1, 1)"
36,"(21.0, 25.0, 3.782, 3.809, 1, 1)","(21.0, 25.0, 3.62, 3.647, 1, 1)","(21.0, 25.0, 3.431, 3.458, 1, 1)","(17.0, 21.0, 3.782, 3.809, 1, 1)","(21.0, 25.0, 3.269, 3.296, 1, 1)"
37,"(25.0, 29.0, 3.296, 3.323, 1, 1)","(21.0, 25.0, 3.647, 3.674, 1, 1)","(21.0, 25.0, 3.458, 3.485, 1, 1)","(21.0, 25.0, 3.35, 3.377, 1, 1)","(21.0, 25.0, 3.296, 3.323, 1, 1)"
38,"(25.0, 29.0, 3.323, 3.35, 1, 1)","(21.0, 25.0, 3.674, 3.701, 1, 1)","(21.0, 25.0, 3.485, 3.512, 1, 1)","(21.0, 25.0, 3.377, 3.404, 1, 1)","(21.0, 25.0, 3.323, 3.35, 1, 1)"
39,"(25.0, 29.0, 3.35, 3.377, 1, 1)","(21.0, 25.0, 3.701, 3.728, 1, 1)","(21.0, 25.0, 3.512, 3.539, 1, 1)","(21.0, 25.0, 3.404, 3.431, 1, 1)","(21.0, 25.0, 3.35, 3.377, 1, 1)"
40,"(25.0, 29.0, 3.377, 3.404, 1, 1)","(21.0, 25.0, 3.728, 3.755, 1, 1)","(21.0, 25.0, 3.539, 3.566, 1, 1)","(21.0, 25.0, 3.431, 3.458, 1, 1)","(21.0, 25.0, 3.377, 3.404, 1, 1)"
41,"(25.0, 29.0, 3.404, 3.431, 1, 1)","(21.0, 25.0, 3.755, 3.782, 1, 1)","(21.0, 25.0, 3.566, 3.593, 1, 1)","(21.0, 25.0, 3.458, 3.485, 1, 1)","(21.0, 25.0, 3.404, 3.431, 1, 1)"
42,"(25.0, 29.0, 3.431, 3.458, 1, 1)","(21.0, 25.0, 3.782, 3.809, 1, 1)","(21.0, 25.0, 3.593, 3.62, 1, 1)","(21.0, 25.0, 3.485, 3.512, 1, 1)","(21.0, 25.0, 3.431, 3.458, 1, 1)"
43,"(25.0, 29.0, 3.458, 3.485, 1, 1)","(25.0, 29.0, 3.296, 3.323, 1, 1)","(21.0, 25.0, 3.62, 3.647, 1, 1)","(21.0, 25.0, 3.512, 3.539, 1, 1)","(21.0, 25.0, 3.458, 3.485, 1, 1)"
44,"(25.0, 29.0, 3.485, 3.512, 1, 1)","(25.0, 29.0, 3.323, 3.35, 1, 1)","(21.0, 25.0, 3.647, 3.674, 1, 1)","(21.0, 25.0, 3.539, 3.566, 1, 1)","(21.0, 25.0, 3.485, 3.512, 1, 1)"
45,"(25.0, 29.0, 3.512, 3.539, 1, 1)","(25.0, 29.0, 3.35, 3.377, 1, 1)","(21.0, 25.0, 3.674, 3.701, 1, 1)","(21.0, 25.0, 3.566, 3.593, 1, 1)","(21.0, 25.0, 3.512, 3.539, 1, 1)"
46,"(25.0, 29.0, 3.539, 3.566, 1, 1)","(25.0, 29.0, 3.377, 3.404, 1, 1)","(21.0, 25.0, 3.701, 3.728, 1, 1)","(21.0, 25.0, 3.593, 3.62, 1, 1)","(21.0, 25.0, 3.539, 3.566, 1, 1)"
47,"(25.0, 29.0, 3.566, 3.593, 1, 1)","(25.0, 29.0, 3.404, 3.431, 1, 1)","(21.0, 25.0, 3.728, 3.755, 1, 1)","(21.0, 25.0, 3.62, 3.647, 1, 1)","(21.0, 25.0, 3.566, 3.593, 1, 1)"
48,"(25.0, 29.0, 3.593, 3.62, 1, 1)","(25.0, 29.0, 3.431, 3.458, 1, 1)","(21.0, 25.0, 3.755, 3.782, 1, 1)","(21.0, 25.0, 3.647, 3.674, 1, 1)","(21.0, 25.0, 3.593, 3.62, 1, 1)"
49,"(25.0, 29.0, 3.62, 3.647, 1, 1)","(25.0, 29.0, 3.458, 3.485, 1, 1)","(21.0, 25.0, 3.782, 3.809, 1, 1)","(21.0, 25.0, 3.674, 3.701, 1, 1)","(21.0, 25.0, 3.62, 3.647, 1, 1)"
50,"(25.0, 29.0, 3.647, 3.674, 1, 1)","(25.0, 29.0, 3.485, 3.512, 1, 1)","(25.0, 29.0, 3.296, 3.323, 1, 1)","(21.0, 25.0, 3.701, 3.728, 1, 1)","(21.0, 25.0, 3.647, 3.674, 1, 1)"
