,CJPL,Kamioka,LNGS,SURF,SNOlab
99,"(37.0, 41.0, 3.701, 3.728, 1, 1)","(37.0, 41.0, 3.539, 3.566, 1, 1)","(33.0, 37.0, 3.701, 3.728, 1, 1)","(33.0, 37.0, 3.566, 3.593, 1, 1)","(33.0, 37.0, 3.512, 3.539, 1, 1)"
100,"(37.0, 41.0, 3.728, 3.755, 1, 1)","(37.0, 41.0, 3.566, 3.593, 1, 1)","(33.0, 37.0, 3.728, 3.755, 1, 1)","(33.0, 37.0, 3.593, 3.62, 1, 1)","(33.0, 37.0, 3.539, 3.566, 1, 1)"
101,"(37.0, 41.0, 3.755, 3.782, 1, 1)","(37.0, 41.0, 3.593, 3.62, 1, 1)","(33.0, 37.0, 3.755, 3.782, 1, 1)","(33.0, 37.0, 3.62, 3.647, 1, 1)","(33.0, 37.0, 3.566, 3.593, 1, 1)"
102,"(37.0, 41.0, 3.782, 3.809, 1, 1)","(37.0, 41.0, 3.62, 3.647, 1, 1)","(33.0, 37.0, 3.782, 3.809, 1, 1)","(33.0, 37.0, 3.647, 3.674, 1, 1)","(33.0, 37.0, 3.593, 3.62, 1, 1)"
103,"(37.0, 41.0, 3.809, 3.836, 1, 1)","(37.0, 41.0, 3.647, 3.674, 1, 1)","(33.0, 37.0, 3.809, 3.836, 1, 1)","(33.0, 37.0, 3.674, 3.701, 1, 1)","(33.0, 37.0, 3.62, 3.647, 1, 1)"
104,"(37.0, 41.0, 3.836, 3.863, 1, 1)","(37.0, 41.0, 3.674, 3.701, 1, 1)","(33.0, 37.0, 3.836, 3.863, 1, 1)","(33.0, 37.0, 3.701, 3.728, 1, 1)","(33.0, 37.0, 3.647, 3.674, 1, 1)"
105,"(37.0, 41.0, 3.863, 3.89, 1, 1)","(37.0, 41.0, 3.701, 3.728, 1, 1)","(33.0, 37.0, 3.863, 3.89, 1, 1)","(33.0, 37.0, 3.728, 3.755, 1, 1)","(33.0, 37.0, 3.674, 3.701, 1, 1)"
106,"(41.0, 45.0, 3.512, 3.539, 1, 1)","(37.0, 41.0, 3.728, 3.755, 1, 1)","(37.0, 41.0, 3.485, 3.512, 1, 1)","(33.0, 37.0, 3.755, 3.782, 1, 1)","(33.0, 37.0, 3.701, 3.728, 1, 1)"
107,"(41.0, 45.0, 3.539, 3.566, 1, 1)","(37.0, 41.0, 3.755, 3.782, 1, 1)","(37.0, 41.0, 3.512, 3.539, 1, 1)","(33.0, 37.0, 3.782, 3.809, 1, 1)","(33.0, 37.0, 3.728, 3.755, 1, 1)"
108,"(41.0, 45.0, 3.566, 3.593, 1, 1)","(37.0, 41.0, 3.782, 3.809, 1, 1)","(37.0, 41.0, 3.539, 3.566, 1, 1)","(33.0, 37.0, 3.809, 3.836, 1, 1)","(33.0, 37.0, 3.755, 3.782, 1, 1)"
109,"(41.0, 45.0, 3.593, 3.62, 1, 1)","(37.0, 41.0, 3.809, 3.836, 1, 1)","(37.0, 41.0, 3.566, 3.593, 1, 1)","(33.0, 37.0, 3.836, 3.863, 1, 1)","(33.0, 37.0, 3.782, 3.809, 1, 1)"
110,"(41.0, 45.0, 3.62, 3.647, 1, 1)","(37.0, 41.0, 3.836, 3.863, 1, 1)","(37.0, 41.0, 3.593, 3.62, 1, 1)","(33.0, 37.0, 3.863, 3.89, 1, 1)","(33.0, 37.0, 3.809, 3.836, 1, 1)"
111,"(41.0, 45.0, 3.647, 3.674, 1, 1)","(37.0, 41.0, 3.863, 3.89, 1, 1)","(37.0, 41.0, 3.62, 3.647, 1, 1)","(33.0, 37.0, 3.89, 3.917, 1, 1)","(33.0, 37.0, 3.836, 3.863, 1, 1)"
112,"(41.0, 45.0, 3.674, 3.701, 1, 1)","(41.0, 45.0, 3.512, 3.539, 1, 1)","(37.0, 41.0, 3.647, 3.674, 1, 1)","(37.0, 41.0, 3.431, 3.458, 1, 1)","(33.0, 37.0, 3.863, 3.89, 1, 1)"
113,"(41.0, 45.0, 3.701, 3.728, 1, 1)","(41.0, 45.0, 3.539, 3.566, 1, 1)","(37.0, 41.0, 3.674, 3.701, 1, 1)","(37.0, 41.0, 3.458, 3.485, 1, 1)","(33.0, 37.0, 3.89, 3.917, 1, 1)"
114,"(41.0, 45.0, 3.728, 3.755, 1, 1)","(41.0, 45.0, 3.566, 3.593, 1, 1)","(37.0, 41.0, 3.701, 3.728, 1, 1)","(37.0, 41.0, 3.485, 3.512, 1, 1)","(37.0, 41.0, 3.485, 3.512, 1, 1)"
115,"(41.0, 45.0, 3.755, 3.782, 1, 1)","(41.0, 45.0, 3.593, 3.62, 1, 1)","(37.0, 41.0, 3.728, 3.755, 1, 1)","(37.0, 41.0, 3.512, 3.539, 1, 1)","(37.0, 41.0, 3.512, 3.539, 1, 1)"
116,"(41.0, 45.0, 3.782, 3.809, 1, 1)","(41.0, 45.0, 3.62, 3.647, 1, 1)","(37.0, 41.0, 3.755, 3.782, 1, 1)","(37.0, 41.0, 3.539, 3.566, 1, 1)","(37.0, 41.0, 3.539, 3.566, 1, 1)"
117,"(41.0, 45.0, 3.809, 3.836, 1, 1)","(41.0, 45.0, 3.647, 3.674, 1, 1)","(37.0, 41.0, 3.782, 3.809, 1, 1)","(37.0, 41.0, 3.566, 3.593, 1, 1)","(37.0, 41.0, 3.566, 3.593, 1, 1)"
118,"(41.0, 45.0, 3.836, 3.863, 1, 1)","(41.0, 45.0, 3.674, 3.701, 1, 1)","(37.0, 41.0, 3.809, 3.836, 1, 1)","(37.0, 41.0, 3.593, 3.62, 1, 1)","(37.0, 41.0, 3.593, 3.62, 1, 1)"
119,"(41.0, 45.0, 3.863, 3.89, 1, 1)","(41.0, 45.0, 3.701, 3.728, 1, 1)","(37.0, 41.0, 3.836, 3.863, 1, 1)","(37.0, 41.0, 3.62, 3.647, 1, 1)","(37.0, 41.0, 3.62, 3.647, 1, 1)"
120,"(45.0, 49.0, 3.539, 3.566, 1, 1)","(41.0, 45.0, 3.728, 3.755, 1, 1)","(37.0, 41.0, 3.863, 3.89, 1, 1)","(37.0, 41.0, 3.647, 3.674, 1, 1)","(37.0, 41.0, 3.647, 3.674, 1, 1)"
121,"(45.0, 49.0, 3.566, 3.593, 1, 1)","(41.0, 45.0, 3.755, 3.782, 1, 1)","(41.0, 45.0, 3.512, 3.539, 1, 1)","(37.0, 41.0, 3.674, 3.701, 1, 1)","(37.0, 41.0, 3.674, 3.701, 1, 1)"
122,"(45.0, 49.0, 3.593, 3.62, 1, 1)","(41.0, 45.0, 3.782, 3.809, 1, 1)","(41.0, 45.0, 3.539, 3.566, 1, 1)","(37.0, 41.0, 3.701, 3.728, 1, 1)","(37.0, 41.0, 3.701, 3.728, 1, 1)"
123,"(45.0, 49.0, 3.62, 3.647, 1, 1)","(41.0, 45.0, 3.809, 3.836, 1, 1)","(41.0, 45.0, 3.566, 3.593, 1, 1)","(37.0, 41.0, 3.728, 3.755, 1, 1)","(37.0, 41.0, 3.728, 3.755, 1, 1)"
124,"(45.0, 49.0, 3.647, 3.674, 1, 1)","(41.0, 45.0, 3.836, 3.863, 1, 1)","(41.0, 45.0, 3.593, 3.62, 1, 1)","(37.0, 41.0, 3.755, 3.782, 1, 1)","(37.0, 41.0, 3.755, 3.782, 1, 1)"
125,"(45.0, 49.0, 3.674, 3.701, 1, 1)","(41.0, 45.0, 3.863, 3.89, 1, 1)","(41.0, 45.0, 3.62, 3.647, 1, 1)","(37.0, 41.0, 3.782, 3.809, 1, 1)","(37.0, 41.0, 3.782, 3.809, 1, 1)"
126,"(45.0, 49.0, 3.701, 3.728, 1, 1)","(45.0, 49.0, 3.539, 3.566, 1, 1)","(41.0, 45.0, 3.647, 3.674, 1, 1)","(37.0, 41.0, 3.809, 3.836, 1, 1)","(37.0, 41.0, 3.809, 3.836, 1, 1)"
127,"(45.0, 49.0, 3.728, 3.755, 1, 1)","(45.0, 49.0, 3.566, 3.593, 1, 1)","(41.0, 45.0, 3.674, 3.701, 1, 1)","(37.0, 41.0, 3.836, 3.863, 1, 1)","(37.0, 41.0, 3.836, 3.863, 1, 1)"
128,"(45.0, 49.0, 3.755, 3.782, 1, 1)","(45.0, 49.0, 3.593, 3.62, 1, 1)","(41.0, 45.0, 3.701, 3.728, 1, 1)","(37.0, 41.0, 3.863, 3.89, 1, 1)","(37.0, 41.0, 3.863, 3.89, 1, 1)"
129,"(45.0, 49.0, 3.782, 3.809, 1, 1)","(45.0, 49.0, 3.62, 3.647, 1, 1)","(41.0, 45.0, 3.728, 3.755, 1, 1)","(37.0, 41.0, 3.89, 3.917, 1, 1)","(37.0, 41.0, 3.89, 3.917, 1, 1)"
130,"(45.0, 49.0, 3.809, 3.836, 1, 1)","(45.0, 49.0, 3.647, 3.674, 1, 1)","(41.0, 45.0, 3.755, 3.782, 1, 1)","(41.0, 45.0, 3.512, 3.539, 1, 1)","(41.0, 45.0, 3.512, 3.539, 1, 1)"
131,"(45.0, 49.0, 3.836, 3.863, 1, 1)","(45.0, 49.0, 3.674, 3.701, 1, 1)","(41.0, 45.0, 3.782, 3.809, 1, 1)","(41.0, 45.0, 3.539, 3.566, 1, 1)","(41.0, 45.0, 3.539, 3.566, 1, 1)"
132,"(45.0, 49.0, 3.863, 3.89, 1, 1)","(45.0, 49.0, 3.701, 3.728, 1, 1)","(41.0, 45.0, 3.809, 3.836, 1, 1)","(41.0, 45.0, 3.566, 3.593, 1, 1)","(41.0, 45.0, 3.566, 3.593, 1, 1)"
133,"(49.0, 53.0, 3.593, 3.62, 1, 1)","(45.0, 49.0, 3.728, 3.755, 1, 1)","(41.0, 45.0, 3.836, 3.863, 1, 1)","(41.0, 45.0, 3.593, 3.62, 1, 1)","(41.0, 45.0, 3.593, 3.62, 1, 1)"
134,"(49.0, 53.0, 3.62, 3.647, 1, 1)","(45.0, 49.0, 3.755, 3.782, 1, 1)","(41.0, 45.0, 3.863, 3.89, 1, 1)","(41.0, 45.0, 3.62, 3.647, 1, 1)","(41.0, 45.0, 3.62, 3.647, 1, 1)"
135,"(49.0, 53.0, 3.647, 3.674, 1, 1)","(45.0, 49.0, 3.782, 3.809, 1, 1)","(41.0, 45.0, 3.89, 3.917, 1, 1)","(41.0, 45.0, 3.647, 3.674, 1, 1)","(41.0, 45.0, 3.647, 3.674, 1, 1)"
136,"(49.0, 53.0, 3.674, 3.701, 1, 1)","(45.0, 49.0, 3.809, 3.836, 1, 1)","(45.0, 49.0, 3.539, 3.566, 1, 1)","(41.0, 45.0, 3.674, 3.701, 1, 1)","(41.0, 45.0, 3.674, 3.701, 1, 1)"
137,"(49.0, 53.0, 3.701, 3.728, 1, 1)","(45.0, 49.0, 3.836, 3.863, 1, 1)","(45.0, 49.0, 3.566, 3.593, 1, 1)","(41.0, 45.0, 3.701, 3.728, 1, 1)","(41.0, 45.0, 3.701, 3.728, 1, 1)"
138,"(49.0, 53.0, 3.728, 3.755, 1, 1)","(45.0, 49.0, 3.863, 3.89, 1, 1)","(45.0, 49.0, 3.593, 3.62, 1, 1)","(41.0, 45.0, 3.728, 3.755, 1, 1)","(41.0, 45.0, 3.728, 3.755, 1, 1)"
139,"(49.0, 53.0, 3.755, 3.782, 1, 1)","(49.0, 53.0, 3.593, 3.62, 1, 1)","(45.0, 49.0, 3.62, 3.647, 1, 1)","(41.0, 45.0, 3.755, 3.782, 1, 1)","(41.0, 45.0, 3.755, 3.782, 1, 1)"
140,"(49.0, 53.0, 3.782, 3.809, 1, 1)","(49.0, 53.0, 3.62, 3.647, 1, 1)","(45.0, 49.0, 3.647, 3.674, 1, 1)","(41.0, 45.0, 3.782, 3.809, 1, 1)","(41.0, 45.0, 3.782, 3.809, 1, 1)"
141,"(49.0, 53.0, 3.809, 3.836, 1, 1)","(49.0, 53.0, 3.647, 3.674, 1, 1)","(45.0, 49.0, 3.674, 3.701, 1, 1)","(41.0, 45.0, 3.809, 3.836, 1, 1)","(41.0, 45.0, 3.809, 3.836, 1, 1)"
142,"(49.0, 53.0, 3.836, 3.863, 1, 1)","(49.0, 53.0, 3.674, 3.701, 1, 1)","(45.0, 49.0, 3.701, 3.728, 1, 1)","(41.0, 45.0, 3.836, 3.863, 1, 1)","(41.0, 45.0, 3.836, 3.863, 1, 1)"
143,"(49.0, 53.0, 3.863, 3.89, 1, 1)","(49.0, 53.0, 3.701, 3.728, 1, 1)","(45.0, 49.0, 3.728, 3.755, 1, 1)","(41.0, 45.0, 3.863, 3.89, 1, 1)","(41.0, 45.0, 3.863, 3.89, 1, 1)"
144,"(49.0, 53.0, 3.89, 3.917, 1, 1)","(49.0, 53.0, 3.728, 3.755, 1, 1)","(45.0, 49.0, 3.755, 3.782, 1, 1)","(41.0, 45.0, 3.89, 3.917, 1, 1)","(41.0, 45.0, 3.89, 3.917, 1, 1)"
145,"(53.0, 57.0, 3.647, 3.674, 1, 1)","(49.0, 53.0, 3.755, 3.782, 1, 1)","(45.0, 49.0, 3.782, 3.809, 1, 1)","(45.0, 49.0, 3.539, 3.566, 1, 1)","(45.0, 49.0, 3.539, 3.566, 1, 1)"
146,"(53.0, 57.0, 3.674, 3.701, 1, 1)","(49.0, 53.0, 3.782, 3.809, 1, 1)","(45.0, 49.0, 3.809, 3.836, 1, 1)","(45.0, 49.0, 3.566, 3.593, 1, 1)","(45.0, 49.0, 3.566, 3.593, 1, 1)"
147,"(53.0, 57.0, 3.701, 3.728, 1, 1)","(49.0, 53.0, 3.809, 3.836, 1, 1)","(45.0, 49.0, 3.836, 3.863, 1, 1)","(45.0, 49.0, 3.593, 3.62, 1, 1)","(45.0, 49.0, 3.593, 3.62, 1, 1)"
148,"(53.0, 57.0, 3.728, 3.755, 1, 1)","(49.0, 53.0, 3.836, 3.863, 1, 1)","(45.0, 49.0, 3.863, 3.89, 1, 1)","(45.0, 49.0, 3.62, 3.647, 1, 1)","(45.0, 49.0, 3.62, 3.647, 1, 1)"
149,"(53.0, 57.0, 3.755, 3.782, 1, 1)","(49.0, 53.0, 3.863, 3.89, 1, 1)","(49.0, 53.0, 3.593, 3.62, 1, 1)","(45.0, 49.0, 3.647, 3.674, 1, 1)","(45.0, 49.0, 3.647, 3.674, 1, 1)"
150,"(53.0, 57.0, 3.782, 3.809, 1, 1)","(49.0, 53.0, 3.89, 3.917, 1, 1)","(49.0, 53.0, 3.62, 3.647, 1, 1)","(45.0, 49.0, 3.674, 3.701, 1, 1)","(45.0, 49.0, 3.674, 3.701, 1, 1)"
151,"(53.0, 57.0, 3.809, 3.836, 1, 1)","(53.0, 57.0, 3.647, 3.674, 1, 1)","(49.0, 53.0, 3.647, 3.674, 1, 1)","(45.0, 49.0, 3.701, 3.728, 1, 1)","(45.0, 49.0, 3.701, 3.728, 1, 1)"
152,"(53.0, 57.0, 3.836, 3.863, 1, 1)","(53.0, 57.0, 3.674, 3.701, 1, 1)","(49.0, 53.0, 3.674, 3.701, 1, 1)","(45.0, 49.0, 3.728, 3.755, 1, 1)","(45.0, 49.0, 3.728, 3.755, 1, 1)"
153,"(53.0, 57.0, 3.863, 3.89, 1, 1)","(53.0, 57.0, 3.701, 3.728, 1, 1)","(49.0, 53.0, 3.701, 3.728, 1, 1)","(45.0, 49.0, 3.755, 3.782, 1, 1)","(45.0, 49.0, 3.755, 3.782, 1, 1)"
154,"(53.0, 57.0, 3.89, 3.917, 1, 1)","(53.0, 57.0, 3.728, 3.755, 1, 1)","(49.0, 53.0, 3.728, 3.755, 1, 1)","(45.0, 49.0, 3.782, 3.809, 1, 1)","(45.0, 49.0, 3.782, 3.809, 1, 1)"
155,"(53.0, 57.0, 3.917, 3.944, 1, 1)","(53.0, 57.0, 3.755, 3.782, 1, 1)","(49.0, 53.0, 3.755, 3.782, 1, 1)","(45.0, 49.0, 3.809, 3.836, 1, 1)","(45.0, 49.0, 3.809, 3.836, 1, 1)"
156,,"(53.0, 57.0, 3.782, 3.809, 1, 1)","(49.0, 53.0, 3.782, 3.809, 1, 1)","(45.0, 49.0, 3.836, 3.863, 1, 1)","(45.0, 49.0, 3.836, 3.863, 1, 1)"
157,,"(53.0, 57.0, 3.809, 3.836, 1, 1)","(49.0, 53.0, 3.809, 3.836, 1, 1)","(45.0, 49.0, 3.863, 3.89, 1, 1)","(45.0, 49.0, 3.863, 3.89, 1, 1)"
158,,"(53.0, 57.0, 3.836, 3.863, 1, 1)","(49.0, 53.0, 3.836, 3.863, 1, 1)","(45.0, 49.0, 3.89, 3.917, 1, 1)","(45.0, 49.0, 3.89, 3.917, 1, 1)"
159,,"(53.0, 57.0, 3.863, 3.89, 1, 1)","(49.0, 53.0, 3.863, 3.89, 1, 1)","(49.0, 53.0, 3.593, 3.62, 1, 1)","(49.0, 53.0, 3.593, 3.62, 1, 1)"
160,,"(53.0, 57.0, 3.89, 3.917, 1, 1)","(49.0, 53.0, 3.89, 3.917, 1, 1)","(49.0, 53.0, 3.62, 3.647, 1, 1)","(49.0, 53.0, 3.62, 3.647, 1, 1)"
161,,"(53.0, 57.0, 3.917, 3.944, 1, 1)","(49.0, 53.0, 3.917, 3.944, 1, 1)","(49.0, 53.0, 3.647, 3.674, 1, 1)","(49.0, 53.0, 3.647, 3.674, 1, 1)"
162,,,"(53.0, 57.0, 3.647, 3.674, 1, 1)","(49.0, 53.0, 3.674, 3.701, 1, 1)","(49.0, 53.0, 3.674, 3.701, 1, 1)"
163,,,"(53.0, 57.0, 3.674, 3.701, 1, 1)","(49.0, 53.0, 3.701, 3.728, 1, 1)","(49.0, 53.0, 3.701, 3.728, 1, 1)"
164,,,"(53.0, 57.0, 3.701, 3.728, 1, 1)","(49.0, 53.0, 3.728, 3.755, 1, 1)","(49.0, 53.0, 3.728, 3.755, 1, 1)"
165,,,"(53.0, 57.0, 3.728, 3.755, 1, 1)","(49.0, 53.0, 3.755, 3.782, 1, 1)","(49.0, 53.0, 3.755, 3.782, 1, 1)"
166,,,"(53.0, 57.0, 3.755, 3.782, 1, 1)","(49.0, 53.0, 3.782, 3.809, 1, 1)","(49.0, 53.0, 3.782, 3.809, 1, 1)"
167,,,"(53.0, 57.0, 3.782, 3.809, 1, 1)","(49.0, 53.0, 3.809, 3.836, 1, 1)","(49.0, 53.0, 3.809, 3.836, 1, 1)"
168,,,"(53.0, 57.0, 3.809, 3.836, 1, 1)","(49.0, 53.0, 3.836, 3.863, 1, 1)","(49.0, 53.0, 3.836, 3.863, 1, 1)"
169,,,"(53.0, 57.0, 3.836, 3.863, 1, 1)","(49.0, 53.0, 3.863, 3.89, 1, 1)","(49.0, 53.0, 3.863, 3.89, 1, 1)"
170,,,"(53.0, 57.0, 3.863, 3.89, 1, 1)","(49.0, 53.0, 3.89, 3.917, 1, 1)","(49.0, 53.0, 3.89, 3.917, 1, 1)"
171,,,"(53.0, 57.0, 3.89, 3.917, 1, 1)","(49.0, 53.0, 3.917, 3.944, 1, 1)","(49.0, 53.0, 3.917, 3.944, 1, 1)"
172,,,"(53.0, 57.0, 3.917, 3.944, 1, 1)","(53.0, 57.0, 3.647, 3.674, 1, 1)","(53.0, 57.0, 3.647, 3.674, 1, 1)"
173,,,"(57.0, 61.0, 3.62, 3.647, 1, 1)","(53.0, 57.0, 3.674, 3.701, 1, 1)","(53.0, 57.0, 3.674, 3.701, 1, 1)"
174,,,"(57.0, 61.0, 3.647, 3.674, 1, 1)","(53.0, 57.0, 3.701, 3.728, 1, 1)","(53.0, 57.0, 3.701, 3.728, 1, 1)"
175,,,"(57.0, 61.0, 3.674, 3.701, 1, 1)","(53.0, 57.0, 3.728, 3.755, 1, 1)","(53.0, 57.0, 3.728, 3.755, 1, 1)"
176,,,"(57.0, 61.0, 3.701, 3.728, 1, 1)","(53.0, 57.0, 3.755, 3.782, 1, 1)","(53.0, 57.0, 3.755, 3.782, 1, 1)"
177,,,"(57.0, 61.0, 3.728, 3.755, 1, 1)","(53.0, 57.0, 3.782, 3.809, 1, 1)","(53.0, 57.0, 3.782, 3.809, 1, 1)"
178,,,"(57.0, 61.0, 3.755, 3.782, 1, 1)","(53.0, 57.0, 3.809, 3.836, 1, 1)","(53.0, 57.0, 3.809, 3.836, 1, 1)"
179,,,"(57.0, 61.0, 3.782, 3.809, 1, 1)","(53.0, 57.0, 3.836, 3.863, 1, 1)","(53.0, 57.0, 3.836, 3.863, 1, 1)"
180,,,"(57.0, 61.0, 3.809, 3.836, 1, 1)","(53.0, 57.0, 3.863, 3.89, 1, 1)","(53.0, 57.0, 3.863, 3.89, 1, 1)"
181,,,"(57.0, 61.0, 3.836, 3.863, 1, 1)","(53.0, 57.0, 3.89, 3.917, 1, 1)","(53.0, 57.0, 3.89, 3.917, 1, 1)"
182,,,"(57.0, 61.0, 3.863, 3.89, 1, 1)","(53.0, 57.0, 3.917, 3.944, 1, 1)","(53.0, 57.0, 3.917, 3.944, 1, 1)"
183,,,"(61.0, 65.0, 3.674, 3.701, 1, 1)","(57.0, 61.0, 3.62, 3.647, 1, 1)","(57.0, 61.0, 3.62, 3.647, 1, 1)"
184,,,"(61.0, 65.0, 3.701, 3.728, 1, 1)","(57.0, 61.0, 3.647, 3.674, 1, 1)","(57.0, 61.0, 3.647, 3.674, 1, 1)"
185,,,"(61.0, 65.0, 3.728, 3.755, 1, 1)","(57.0, 61.0, 3.674, 3.701, 1, 1)","(57.0, 61.0, 3.674, 3.701, 1, 1)"
186,,,"(61.0, 65.0, 3.755, 3.782, 1, 1)","(57.0, 61.0, 3.701, 3.728, 1, 1)","(57.0, 61.0, 3.701, 3.728, 1, 1)"
187,,,"(61.0, 65.0, 3.782, 3.809, 1, 1)","(57.0, 61.0, 3.728, 3.755, 1, 1)","(57.0, 61.0, 3.728, 3.755, 1, 1)"
188,,,"(61.0, 65.0, 3.809, 3.836, 1, 1)","(57.0, 61.0, 3.755, 3.782, 1, 1)","(57.0, 61.0, 3.755, 3.782, 1, 1)"
189,,,"(61.0, 65.0, 3.836, 3.863, 1, 1)","(57.0, 61.0, 3.782, 3.809, 1, 1)","(57.0, 61.0, 3.782, 3.809, 1, 1)"
190,,,"(61.0, 65.0, 3.863, 3.89, 1, 1)","(57.0, 61.0, 3.809, 3.836, 1, 1)","(57.0, 61.0, 3.809, 3.836, 1, 1)"
191,,,"(61.0, 65.0, 3.89, 3.917, 1, 1)","(57.0, 61.0, 3.836, 3.863, 1, 1)","(57.0, 61.0, 3.836, 3.863, 1, 1)"
192,,,"(61.0, 65.0, 3.917, 3.944, 1, 1)","(57.0, 61.0, 3.863, 3.89, 1, 1)","(57.0, 61.0, 3.863, 3.89, 1, 1)"
193,,,,"(61.0, 65.0, 3.674, 3.701, 1, 1)","(61.0, 65.0, 3.674, 3.701, 1, 1)"
194,,,,"(61.0, 65.0, 3.701, 3.728, 1, 1)","(61.0, 65.0, 3.701, 3.728, 1, 1)"
195,,,,"(61.0, 65.0, 3.728, 3.755, 1, 1)","(61.0, 65.0, 3.728, 3.755, 1, 1)"
196,,,,"(61.0, 65.0, 3.755, 3.782, 1, 1)","(61.0, 65.0, 3.755, 3.782, 1, 1)"
197,,,,"(61.0, 65.0, 3.782, 3.809, 1, 1)","(61.0, 65.0, 3.782, 3.809, 1, 1)"
198,,,,"(61.0, 65.0, 3.809, 3.836, 1, 1)","(61.0, 65.0, 3.809, 3.836, 1, 1)"
199,,,,"(61.0, 65.0, 3.836, 3.863, 1, 1)","(61.0, 65.0, 3.836, 3.863, 1, 1)"
200,,,,"(61.0, 65.0, 3.863, 3.89, 1, 1)","(61.0, 65.0, 3.863, 3.89, 1, 1)"
201,,,,"(61.0, 65.0, 3.89, 3.917, 1, 1)","(61.0, 65.0, 3.89, 3.917, 1, 1)"
202,,,,"(61.0, 65.0, 3.917, 3.944, 1, 1)","(61.0, 65.0, 3.917, 3.944, 1, 1)"
203,,,,"(65.0, 69.0, 3.701, 3.728, 1, 1)","(65.0, 69.0, 3.701, 3.728, 1, 1)"
204,,,,"(65.0, 69.0, 3.728, 3.755, 1, 1)","(65.0, 69.0, 3.728, 3.755, 1, 1)"
205,,,,"(65.0, 69.0, 3.755, 3.782, 1, 1)","(65.0, 69.0, 3.755, 3.782, 1, 1)"
206,,,,"(65.0, 69.0, 3.782, 3.809, 1, 1)","(65.0, 69.0, 3.782, 3.809, 1, 1)"
207,,,,"(65.0, 69.0, 3.809, 3.836, 1, 1)","(65.0, 69.0, 3.809, 3.836, 1, 1)"
208,,,,"(65.0, 69.0, 3.836, 3.863, 1, 1)","(65.0, 69.0, 3.836, 3.863, 1, 1)"
209,,,,"(65.0, 69.0, 3.863, 3.89, 1, 1)","(65.0, 69.0, 3.863, 3.89, 1, 1)"
210,,,,"(69.0, 73.0, 3.728, 3.755, 1, 1)","(69.0, 73.0, 3.728, 3.755, 1, 1)"
211,,,,"(69.0, 73.0, 3.755, 3.782, 1, 1)","(69.0, 73.0, 3.755, 3.782, 1, 1)"
212,,,,"(69.0, 73.0, 3.782, 3.809, 1, 1)","(69.0, 73.0, 3.782, 3.809, 1, 1)"
213,,,,"(69.0, 73.0, 3.809, 3.836, 1, 1)","(69.0, 73.0, 3.809, 3.836, 1, 1)"
214,,,,"(69.0, 73.0, 3.836, 3.863, 1, 1)","(69.0, 73.0, 3.836, 3.863, 1, 1)"
215,,,,"(69.0, 73.0, 3.863, 3.89, 1, 1)","(69.0, 73.0, 3.863, 3.89, 1, 1)"
216,,,,"(69.0, 73.0, 3.89, 3.917, 1, 1)","(69.0, 73.0, 3.89, 3.917, 1, 1)"
217,,,,"(69.0, 73.0, 3.917, 3.944, 1, 1)","(69.0, 73.0, 3.917, 3.944, 1, 1)"
218,,,,"(73.0, 77.0, 3.701, 3.728, 1, 1)","(73.0, 77.0, 3.701, 3.728, 1, 1)"
219,,,,"(73.0, 77.0, 3.728, 3.755, 1, 1)","(73.0, 77.0, 3.728, 3.755, 1, 1)"
220,,,,"(73.0, 77.0, 3.755, 3.782, 1, 1)","(73.0, 77.0, 3.755, 3.782, 1, 1)"
221,,,,"(73.0, 77.0, 3.782, 3.809, 1, 1)","(73.0, 77.0, 3.782, 3.809, 1, 1)"
222,,,,"(73.0, 77.0, 3.809, 3.836, 1, 1)","(73.0, 77.0, 3.809, 3.836, 1, 1)"
223,,,,"(73.0, 77.0, 3.836, 3.863, 1, 1)","(73.0, 77.0, 3.836, 3.863, 1, 1)"
224,,,,"(73.0, 77.0, 3.863, 3.89, 1, 1)","(73.0, 77.0, 3.863, 3.89, 1, 1)"
225,,,,"(73.0, 77.0, 3.89, 3.917, 1, 1)","(73.0, 77.0, 3.89, 3.917, 1, 1)"
226,,,,"(73.0, 77.0, 3.917, 3.944, 1, 1)","(73.0, 77.0, 3.917, 3.944, 1, 1)"
227,,,,"(73.0, 77.0, 3.944, 3.971, 1, 1)","(73.0, 77.0, 3.944, 3.971, 1, 1)"
228,,,,"(73.0, 77.0, 3.971, 3.998, 1, 1)","(73.0, 77.0, 3.971, 3.998, 1, 1)"
