,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",52660.478739844846,52604.1767819662,61232.113738832464,62616.14261955286,74955.10746098902,75552.4168238117,100452.3129723212,98605.20619544697,100139.46413539707,99236.12066006435
"(0.01, 0.9)",35421.059597187916,36268.44790968449,42665.68921735914,42018.78382075054,51943.70359046088,51838.81732822369,67029.78973553891,68522.0941872027,67999.52008184027,68949.7545826976
"(0.1, 0.9)",18542.76786346715,18517.28167928568,21968.236391489343,21799.622915021704,25541.901974392385,26811.501879335443,34356.61385067493,35413.33368841768,34902.72932474347,35205.46320889273
