,CJPL_high__nobgMethod1,CJPL_high__lessbgMethod1,CJPL_high__lessbgMethod2,CJPL_high_NR_Argon_tot_smear0.1_nobgMethod1,CJPL_high_NR_Argon_tot_smear0.1_lessbgMethod1,CJPL_high_NR_Argon_tot_smear0.1_lessbgMethod2,CJPL_low__nobgMethod1,CJPL_low__lessbgMethod1,CJPL_low__lessbgMethod2,CJPL_low_NR_Argon_tot_smear0.1_nobgMethod1,CJPL_low_NR_Argon_tot_smear0.1_lessbgMethod1,CJPL_low_NR_Argon_tot_smear0.1_lessbgMethod2,Kamioka_high__nobgMethod1,Kamioka_high__lessbgMethod1,Kamioka_high__lessbgMethod2,Kamioka_high_NR_Argon_tot_smear0.1_nobgMethod1,Kamioka_high_NR_Argon_tot_smear0.1_lessbgMethod1,Kamioka_high_NR_Argon_tot_smear0.1_lessbgMethod2,Kamioka_low__nobgMethod1,Kamioka_low__lessbgMethod1,Kamioka_low__lessbgMethod2,Kamioka_low_NR_Argon_tot_smear0.1_nobgMethod1,Kamioka_low_NR_Argon_tot_smear0.1_lessbgMethod1,Kamioka_low_NR_Argon_tot_smear0.1_lessbgMethod2,LNGS_high__nobgMethod1,LNGS_high__lessbgMethod1,LNGS_high__lessbgMethod2,LNGS_high_NR_Argon_tot_smear0.1_nobgMethod1,LNGS_high_NR_Argon_tot_smear0.1_lessbgMethod1,LNGS_high_NR_Argon_tot_smear0.1_lessbgMethod2,LNGS_low__nobgMethod1,LNGS_low__lessbgMethod1,LNGS_low__lessbgMethod2,LNGS_low_NR_Argon_tot_smear0.1_nobgMethod1,LNGS_low_NR_Argon_tot_smear0.1_lessbgMethod1,LNGS_low_NR_Argon_tot_smear0.1_lessbgMethod2,SURF_high__nobgMethod1,SURF_high__lessbgMethod1,SURF_high__lessbgMethod2,SURF_high_NR_Argon_tot_smear0.1_nobgMethod1,SURF_high_NR_Argon_tot_smear0.1_lessbgMethod1,SURF_high_NR_Argon_tot_smear0.1_lessbgMethod2,SURF_low__nobgMethod1,SURF_low__lessbgMethod1,SURF_low__lessbgMethod2,SURF_low_NR_Argon_tot_smear0.1_nobgMethod1,SURF_low_NR_Argon_tot_smear0.1_lessbgMethod1,SURF_low_NR_Argon_tot_smear0.1_lessbgMethod2,SNOlab_high__nobgMethod1,SNOlab_high__lessbgMethod1,SNOlab_high__lessbgMethod2,SNOlab_high_NR_Argon_tot_smear0.1_nobgMethod1,SNOlab_high_NR_Argon_tot_smear0.1_lessbgMethod1,SNOlab_high_NR_Argon_tot_smear0.1_lessbgMethod2,SNOlab_low__nobgMethod1,SNOlab_low__lessbgMethod1,SNOlab_low__lessbgMethod2,SNOlab_low_NR_Argon_tot_smear0.1_nobgMethod1,SNOlab_low_NR_Argon_tot_smear0.1_lessbgMethod1,SNOlab_low_NR_Argon_tot_smear0.1_lessbgMethod2
"(0.001, 0.9)",3489.341918610783,359.66364128511333,705.4337002405488,7832.813560606536,459.2655489339919,974.7736094923888,3489.341918610783,359.6866792476277,709.1791235007506,7832.813560606536,459.331729709497,924.8816331141112,3060.387625550496,287.8317100293119,565.947223927572,6878.013630543147,370.1374377813145,738.5586296755184,3060.387625550496,287.93110956230385,552.988130843711,6878.013630543147,369.0811505746296,730.8905255386014,2318.986586315363,205.5704326218901,393.4134880551797,5467.829318908282,263.67348384620584,548.5011187374888,2318.986586315363,205.63655292848387,388.73795985415785,5467.829318908282,263.8291869220532,530.3743165853434,1806.6162932832465,142.26597931244922,253.6367545900604,4019.840572653202,181.7406798824953,363.5039444035885,1806.6162932832465,142.35345765983692,349.2422978224301,4019.840572653202,182.66007778203465,362.0628445339049,1716.0636854041609,138.1388645116903,242.6278682727525,3851.767758507384,178.00517955685714,342.367039539118,1716.0636854041609,138.22917957198678,245.45300738563623,3851.767758507384,177.885186825949,365.8384942749983
"(0.001, 0.8)",1676.4119102110908,222.4117400035863,521.6958171629602,3648.715639647351,283.8378333026573,733.3729716232967,1676.4119102110908,222.4292686848049,514.28962652218,3648.715639647351,283.8881774210112,682.5280426091346,1461.3534160670165,176.31953998227945,429.2716539221556,3187.900589566612,226.7309291842013,521.8523469305468,1461.3534160670165,176.39491758022294,449.4845599608195,3187.900589566612,225.75052183002555,544.6888409156544,1094.960554464168,122.95590908790354,296.86573198457904,2515.425187327573,157.7234631466638,344.1662243559831,1094.960554464168,123.00561825718296,300.981221120986,2515.425187327573,157.84052609034265,340.8780381936894,846.5160586787385,83.50489112069674,203.84170791885413,1834.358679680556,106.57973653724734,298.5709024065199,846.5160586787385,83.57020000106283,219.24561344502644,1834.358679680556,107.3571705065041,277.49973338915004,803.0104948909047,80.76304394693419,205.86643819074345,1755.05207003743,104.19183949061312,251.10288221462255,803.0104948909047,80.83037083883706,228.06635869733967,1755.05207003743,104.10235590762387,266.5906350427495
"(0.01, 0.9)",3308.988686503712,295.6446305140911,552.8954092947458,7545.163651316003,377.6560706790485,814.0509035177695,3308.988686503712,295.6608416448952,470.6647784823054,7545.163651316003,377.70264495449095,749.5939870060209,2911.3080016816925,237.99275114710213,378.873860616825,6642.081465696044,306.0531257241574,549.425540578662,2911.3080016816925,238.06281430387435,457.3653085862366,6642.081465696044,305.4589095029463,490.7341327751842,2218.653193770902,172.48687566815468,253.5241305557394,5299.943590679334,221.22635776533028,348.7670469134464,2218.653193770902,172.5336851319129,275.89730177347263,5299.943590679334,221.3365841799773,348.1941015661293,1735.15391753138,120.7349756107472,195.51527862345225,3912.076249554858,154.31806876829418,274.96310778074815,1735.15391753138,120.7971209972587,202.0193506227949,3912.076249554858,154.8923857831866,291.7108023366321,1649.293363625679,117.5095659286009,197.6092209866124,3751.257101495639,151.31733250251355,261.97372625288284,1649.293363625679,117.5737736049722,199.02019471615552,3751.257101495639,151.23204163058628,273.3834690514612
"(0.01, 0.8)",1552.136788675268,172.73831158370731,292.40475212076126,3453.24495919452,220.53381143458623,444.3612187328745,1552.136788675268,172.75018498613832,391.7927403553136,3453.24495919452,220.56791789809915,459.74806874175687,1358.911755891777,137.826350051507,268.5637403348486,3027.934622530958,177.23610102281734,354.3549312187505,1358.911755891777,137.87752826373557,309.9947083710903,3027.934622530958,176.64787672873595,387.4185880059568,1026.3637661487892,97.698335841755,186.43305218252635,2401.975596245258,125.315809338015,291.26616294477424,1026.3637661487892,97.732292373815,195.0307880476121,2401.975596245258,125.39577282886611,244.1928914872578,797.8262722951124,67.21569067558586,138.53601911230407,1761.799355130081,85.84218071525245,216.0989053988924,797.8262722951124,67.26052356683581,176.9454450705978,1761.799355130081,86.33620852143682,222.88558469170044,757.5449111991818,65.18559984962377,143.50787211628503,1687.4215465327202,84.0282651566103,196.69534012253143,757.5449111991818,65.23186643838591,133.3402911215205,1687.4215465327202,83.96678864561866,174.0551625085337
"(0.1, 0.9)",3070.274974677243,218.2998044731473,239.25872139818128,7160.792914761519,279.03513168747344,377.3014616112714,3070.274974677243,218.3082438617303,277.341130541058,7160.792914761519,279.0593801559823,400.3467029276224,2713.610373943432,177.54343178169194,199.30845368293325,6326.3394947993775,228.32468151179413,257.5035500945728,2713.610373943432,177.57996174492982,204.01133431131404,6326.3394947993775,228.24398767548288,263.08598438223754,2085.1359369392208,131.96856254064733,149.7971384466779,5074.761691257575,169.2422033385335,260.23539572360244,2085.1359369392208,131.99306365916786,149.57861051691918,5074.761691257575,169.29989708480173,245.3295529414674,1639.8327792969787,94.16787587912098,136.12542967261956,3767.184561823853,120.4694629022062,148.33760272481933,1639.8327792969787,94.20050464580444,126.322001181078,3767.184561823853,120.64767247339476,162.03045348964656,1560.1944469075977,92.01577174222814,135.3165794406368,3616.058596062952,118.35129686631365,165.61691858843895,1560.1944469075977,92.04950514789226,115.55619973320022,3616.058596062952,118.30649399387076,188.9997038907212
"(0.1, 0.8)",1390.0533745404002,114.99661116395949,98.43621413318644,3194.8364149261133,146.92713483554343,239.521071414812,1390.0533745404002,115.00231374203749,171.9749891046029,3194.8364149261133,146.94351899266144,209.9619055156702,1224.944539274041,92.88093485533858,140.14741371748386,2815.999864350458,119.44407197692952,186.65267273710347,1224.944539274041,92.90559953121436,132.23206786774972,2815.999864350458,119.27386876657484,213.47036616089295,936.214329755801,67.87416799006017,120.2884995212697,2251.180250725443,87.05051492719296,163.6880896715874,936.214329755801,67.89067843691285,122.50585676257307,2251.180250725443,87.08939313911675,157.82923618428237,733.6236985900872,47.811473928097264,81.57027985343403,1665.015021435692,61.12865040552995,89.168148444294,733.6236985900872,47.83342721328557,80.82165914708659,1665.015021435692,61.31084879068559,109.32036859864108,697.5587517619603,46.59512514381808,79.41992448462452,1597.1534853164535,59.97759695501227,106.65042620256314,697.5587517619603,46.61781425812823,71.74150166818418,1597.1534853164535,59.94746006966919,83.48270072594491
