,Er_range allHEPMethod2,Er_range no8BbgMethod2
CJPL_high_,1.0-5.508,4.219-5.508
CJPL_low_,1.0-5.508,4.219-5.508
Kamioka_high_,1.0-5.508,4.219-5.508
Kamioka_low_,1.0-5.508,4.219-5.508
LNGS_high_,1.0-5.508,4.219-5.508
LNGS_low_,1.0-5.508,4.219-5.508
SURF_high_,1.0-5.508,4.219-5.508
SURF_low_,1.0-5.508,4.219-5.508
SNOlab_high_,1.0-5.508,4.219-5.508
SNOlab_low_,1.0-5.508,4.219-5.508
