,CJPL_high__allHEPMethod1,CJPL_high__allHEPMethod2,CJPL_high__no8BgMethod1,CJPL_high__no8BbgMethod2,CJPL_low__allHEPMethod1,CJPL_low__allHEPMethod2,CJPL_low__no8BgMethod1,CJPL_low__no8BbgMethod2,Kamioka_high__allHEPMethod1,Kamioka_high__allHEPMethod2,Kamioka_high__no8BgMethod1,Kamioka_high__no8BbgMethod2,Kamioka_low__allHEPMethod1,Kamioka_low__allHEPMethod2,Kamioka_low__no8BgMethod1,Kamioka_low__no8BbgMethod2,LNGS_high__allHEPMethod1,LNGS_high__allHEPMethod2,LNGS_high__no8BgMethod1,LNGS_high__no8BbgMethod2,LNGS_low__allHEPMethod1,LNGS_low__allHEPMethod2,LNGS_low__no8BgMethod1,LNGS_low__no8BbgMethod2,SURF_high__allHEPMethod1,SURF_high__allHEPMethod2,SURF_high__no8BgMethod1,SURF_high__no8BbgMethod2,SURF_low__allHEPMethod1,SURF_low__allHEPMethod2,SURF_low__no8BgMethod1,SURF_low__no8BbgMethod2,SNOlab_high__allHEPMethod1,SNOlab_high__allHEPMethod2,SNOlab_high__no8BgMethod1,SNOlab_high__no8BbgMethod2,SNOlab_low__allHEPMethod1,SNOlab_low__allHEPMethod2,SNOlab_low__no8BgMethod1,SNOlab_low__no8BbgMethod2
"(0.001, 0.9)",3780.411444393907,2720.422544667835,,6000.0,2912.0381661310016,2106.2432466350833,,6000.0,3780.4353640340973,2717.627296683991,,6000.0,2912.0605583379433,2106.518111275172,,6000.0,3780.468148168378,2718.6234892178836,,6000.0,2912.0912490657684,2105.569479455508,,6000.0,3780.527032957915,2721.0847469940795,,6000.0,2912.1463735537327,2104.251203903181,,6000.0,3780.5269566808797,2722.455948269528,,6000.0,2912.1463023176166,2103.7651131321395,,6000.0
"(0.001, 0.8)",3056.145655981519,2195.6242078447062,,6000.0,2353.8174372939193,1695.922164876552,,6000.0,3056.1650033169876,2194.6646956082577,,6000.0,2353.835549164568,1695.6976705765737,,6000.0,3056.1915206742265,2191.488020976507,,6000.0,2353.860373269396,1695.7928311199905,,6000.0,3056.239149474999,2195.2329844619717,,6000.0,2353.9049605491664,1693.4017595307919,,6000.0,3056.2390877785274,2193.6708949070844,,6000.0,2353.9049029300445,1694.3552987230871,,6000.0
"(0.01, 0.9)",2575.690681359739,1852.4033577577006,,6000.0,1984.25829502368,1427.6800000000003,,6000.0,2575.7069716004385,1852.0540425982833,,6000.0,1984.2735450228479,1430.4131463332208,,6000.0,2575.729298919509,1855.9660163624922,,6000.0,1984.2944466505878,1431.9039212357834,,6000.0,2575.7694018385937,1852.590904272236,,6000.0,1984.3319886578468,1431.4304153852818,,6000.0,2575.769349890853,1849.730778542524,,6000.0,1984.3319401431688,1429.28474561815,,6000.0
"(0.01, 0.8)",1984.5803920295189,1427.517197781673,,5998.008271419684,1528.6431904474703,1100.7849206999153,,5780.922074187673,1984.5929513060275,1423.0872277810477,,6000.0,1528.6549477270153,1101.890634474395,,6000.0,1984.610164985006,1424.8342193173567,,6000.0,1528.6710622380772,1101.3663409337678,,6000.0,1984.6410831070195,1427.8021454112038,,6000.0,1528.7000059691015,1101.8017034286963,,6000.0,1984.6410430569028,1423.2500147310118,,6000.0,1528.6999685657795,1101.5826870958222,,6000.0
"(0.1, 0.9)",1302.02808190147,936.4488040285355,,4126.331908070551,1003.3053363217712,716.8008095179688,,3843.339194438766,1302.0363086948253,936.6981632869732,,4636.926068853458,1003.3130377800438,720.7056011332115,,4457.601329273726,1302.047584294955,938.1547650791957,,5210.662538552789,1003.3235933880868,715.6149569255211,,4819.249145299147,1302.0678368151187,937.0921016671223,,5738.752095986883,1003.3425526155072,720.6137482419127,,5516.144743604951,1302.0678105808017,935.2543094275379,,5686.279082383942,1003.3425281149312,718.3411909218532,,5455.844786437331
"(0.1, 0.8)",892.8737363432185,641.4429059971642,,2840.440058958402,687.9000114947117,493.8754780114724,,2632.6003481961507,892.8793818576096,639.6165054748413,,3187.3946497223415,687.9052965053569,493.87341464402937,,3045.0608053738238,892.8871195702337,640.6481887110363,,3166.786879320472,687.912540133628,495.36512381485784,,3034.568854334599,892.9010175605076,641.4537940155399,,4025.255373756818,687.9255506201088,494.47657188626357,,3856.1442267378484,892.9009995575988,641.6436337279538,,3983.5008583340145,687.9255338069544,492.20829291949565,,3822.959984405893
