,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",5809.895670925438,4475.479174079769,5829.900125465407,4483.037008710832,5838.10305706858,4494.31000952523,5801.602837599292,4503.183853440478,5826.983214042855,4513.066237309735
"(0.01, 0.9)",3980.5206431657975,3064.8982367406193,3998.293820099093,3062.301009244773,3974.021561011792,3066.1546135620315,3990.0933430095483,3068.7601960233346,3980.99541944861,3075.826168222231
"(0.1, 0.9)",2010.9908760598844,1553.4408630498754,2012.2803998950537,1548.3853249436768,2005.4103791055359,1540.011841847517,2015.6681704669552,1547.6375482074814,2005.6396308157211,1552.3943404560184
