,atm_CJPL_high_null_i,atm_CJPL_high_alter_i,atm_CJPL_low_null_i,atm_CJPL_low_alter_i,atm_Kamioka_high_null_i,atm_Kamioka_high_alter_i,atm_Kamioka_low_null_i,atm_Kamioka_low_alter_i,atm_LNGS_high_null_i,atm_LNGS_high_alter_i,atm_LNGS_low_null_i,atm_LNGS_low_alter_i,atm_SURF_high_null_i,atm_SURF_high_alter_i,atm_SURF_low_null_i,atm_SURF_low_alter_i,atm_SNOlab_high_null_i,atm_SNOlab_high_alter_i,atm_SNOlab_low_null_i,atm_SNOlab_low_alter_i,hep_CJPL_high_null_i,hep_CJPL_high_alter_i,hep_CJPL_low_null_i,hep_CJPL_low_alter_i,hep_Kamioka_high_null_i,hep_Kamioka_high_alter_i,hep_Kamioka_low_null_i,hep_Kamioka_low_alter_i,hep_LNGS_high_null_i,hep_LNGS_high_alter_i,hep_LNGS_low_null_i,hep_LNGS_low_alter_i,hep_SURF_high_null_i,hep_SURF_high_alter_i,hep_SURF_low_null_i,hep_SURF_low_alter_i,hep_SNOlab_high_null_i,hep_SNOlab_high_alter_i,hep_SNOlab_low_null_i,hep_SNOlab_low_alter_i,dsnb_CJPL_high_null_i,dsnb_CJPL_high_alter_i,dsnb_CJPL_low_null_i,dsnb_CJPL_low_alter_i,dsnb_Kamioka_high_null_i,dsnb_Kamioka_high_alter_i,dsnb_Kamioka_low_null_i,dsnb_Kamioka_low_alter_i,dsnb_LNGS_high_null_i,dsnb_LNGS_high_alter_i,dsnb_LNGS_low_null_i,dsnb_LNGS_low_alter_i,dsnb_SURF_high_null_i,dsnb_SURF_high_alter_i,dsnb_SURF_low_null_i,dsnb_SURF_low_alter_i,dsnb_SNOlab_high_null_i,dsnb_SNOlab_high_alter_i,dsnb_SNOlab_low_null_i,dsnb_SNOlab_low_alter_i
0,0.00015064498755872088,0.00031371331058313806,0.000151062980810971,0.0003141313038353882,0.0003278575552196342,0.0007302545699376656,0.0003291933162648682,0.0007315903309828996,0.0011504516665833099,0.002617349747823401,0.0011566559239447897,0.002623554005184881,0.0014158353009629452,0.0037337967663048695,0.0014256924558766976,0.003743653921218622,0.0014158353009629452,0.003738101058129232,0.0014256924558766976,0.0037479582130429847,10.968267967089215,11.06809759840799,9.022931886363185,9.126114005301202,10.968485271075679,11.068314902394453,9.023149190349649,9.126331309287666,10.96877912291632,11.068608754235095,9.02344304219029,9.126625161128308,10.969313676484335,11.06914330780311,9.023977595758305,9.127159714696322,10.969306316809439,11.069135948128213,9.023970236083409,9.127152355021426,0.0016291277319250084,0.002702589779330601,0.0016419045554392534,0.0027153666028448464,0.001879929899451963,0.0029533919468575556,0.0018927067229662078,0.0029661687703718006,0.0022640945459817255,0.0033375565933873182,0.002276871369495971,0.0033503334169015637,0.0029233901945134658,0.003996852241919058,0.002936167018027711,0.0040096290654333035,0.002928895083054363,0.004002357130459955,0.0029416719065686082,0.004015133953974201
1,0.0005473587776283972,0.0012015860199632651,0.0005483665822486837,0.0012025938245835517,0.0009735403302426844,0.002317248500681917,0.0009757289130588179,0.0023194370834980506,0.0010427832169302746,0.002817356169929053,0.0010456714841034355,0.002820244437102214,0.0011526756113335135,0.0037055182860327904,0.0011571177229878654,0.0037099603976871423,0.0011526756113335135,0.003729993355617215,0.0011571177229878654,0.003734435467271567,8.021817637508915,8.128403776373712,6.599618157431839,6.709783681557371,8.022215666264053,8.12880180512885,6.600016186186976,6.710181710312509,8.02279106584649,8.129377204711288,6.600591585769414,6.710757109894947,8.023789229033952,8.130375367898749,6.601589748956876,6.711755273082408,8.02379119345804,8.130377332322837,6.601591713380964,6.711757237506497,0.0014684031368290495,0.002404896286890406,0.001473226894496325,0.002409720044557682,0.0017421262452532622,0.002678619395314619,0.0017469500029205379,0.0026834431529818943,0.0021375712796207658,0.0030740644296821224,0.002142395037288042,0.0030788881873493987,0.00282716051863305,0.0037636536686944068,0.0028319842763003264,0.003768477426361683,0.0028518388502843,0.003788332000345657,0.0028566626079515765,0.003793155758012933
2,0.0007196298546148078,0.0017958598771453786,0.0007183270567127177,0.0017945570792432886,0.0007244460050376926,0.002032399793825074,0.0007231704675650971,0.0020311242563524783,0.0007305054892408681,0.002398265018722645,0.0007292844726272616,0.0023970440021090387,0.0007325547842191542,0.0030011282809863857,0.0007313701148448739,0.0029999436116121053,0.0007305054892408681,0.0030224300402024824,0.0007292844726272616,0.003021209023588876,0.7004161140834302,0.725164359705151,0.5767120611430012,0.602291404565533,0.7006846324219221,0.725432878043643,0.5769805794814932,0.6025599229040249,0.7010648217772737,0.7258130673989945,0.5773607688368447,0.6029401122593765,0.701740208782596,0.7264884544043169,0.578036155842167,0.6036154992646988,0.7017476199226176,0.7264958655443384,0.5780435669821886,0.6036229104047204,0.0001593904791037552,0.00027301041875617315,0.00015968125701836395,0.0002733011966707819,0.00018936636127506152,0.0003029863009274795,0.00018965713918967026,0.0003032770788420882,0.00023745692282747994,0.0003510768624798979,0.0002377477007420887,0.00035136764039450663,0.00032008603788704677,0.00043370597753946473,0.00032037681580165554,0.0004339967554540735,0.00032615345357553616,0.0004397733932279541,0.00032644423149014493,0.0004400641711425629
3,0.00043547268004345125,0.0011808361991244398,0.00043567208277749375,0.0011810356018584823,0.00043547268004345125,0.0013378032326248888,0.00043567208277749375,0.0013380026353589313,0.00043547268004345125,0.001584330916675287,0.00043567208277749375,0.0015845303194093295,0.0006942619440784344,0.002517984211618287,0.0006952041023100595,0.0025189263698499123,0.0006947291978882943,0.002539151177655895,0.0006956804429297509,0.0025401024226973518,0.0504985842250867,0.05574712154467866,0.04185196646324374,0.04727676063313777,0.050665439528168536,0.0559139768477605,0.04201882176632558,0.04744361593621961,0.050909358640152676,0.05615789595974464,0.04226274087830972,0.04768753504820375,0.051337854155325324,0.056586391474917286,0.042691236393482365,0.0481160305633764,0.05133446350085293,0.056583000820444894,0.04268784573900997,0.048112639908904006,,,,,,,,,,,,,,,,,,,,
4,0.0002791089113438129,0.0008927249923833863,0.00027941703160707206,0.0008930331126466454,0.0002791089113438129,0.0010214711952300022,0.00027941703160707206,0.0010217793154932615,0.00043071636539256884,0.0015581145728588096,0.0004314134935566678,0.0015588117010229086,0.00043071636539256884,0.0019582905775118314,0.0004314134935566678,0.0019589877056759306,0.00043071636539256884,0.001968167839855875,0.0004314134935566678,0.0019688649680199744,0.003822298934023496,0.0048664864638634404,0.00331566117454051,0.004394914703520305,0.003920540083562277,0.004964727613402221,0.0034139023240792907,0.004493155853059086,0.004066447177466122,0.0051106347073060655,0.0035598094179831357,0.00463906294696293,0.004322375637610324,0.005366563167450268,0.003815737878127338,0.004894991407107132,0.004323622190802194,0.005367809720642138,0.0038169844313192085,0.004896237960299003,,,,,,,,,,,,,,,,,,,,
5,0.0002009455340998784,0.0006158859738626045,0.0002009455340998784,0.0006158859738626045,0.00020096738618943555,0.0007037260477341489,0.00020096738618943555,0.0007037260477341489,0.0003548484436831045,0.0011599369244493787,0.00035440434546113415,0.0011594928262274084,0.0003548484436831045,0.0014435632941606357,0.00035440434546113415,0.0014431191959386653,0.0003548484436831045,0.001453168376951097,0.00035440434546113415,0.0014527242787291264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00020534013902051942,0.0006689923418921689,0.00020589919191430102,0.0006695513947859505,0.00020534013902051942,0.0007666242022594715,0.00020589919191430102,0.0007671832551532531,0.00020534013902051942,0.000919566413824837,0.00020589919191430102,0.0009201254667186187,0.00040811202296360457,0.0015869295822602985,0.0004079893779803505,0.0015868069372770445,0.00040811202296360457,0.0015983621845927659,0.0004079893779803505,0.0015982395396095118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.00015490970009739835,0.0004846550254588461,0.000155480313290433,0.0004852256386518808,0.0001548878480078412,0.0005528684270944465,0.00015545846120087589,0.0005534390402874812,0.0001548878480078412,0.0006597848125466263,0.00015545846120087589,0.000660355425739661,0.00030342752704842443,0.0011873927722899243,0.00030135389124479403,0.0011853191364862938,0.00030340021193647797,0.001193456776121303,0.0003013265761328476,0.0011913831403176725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.048329519839402e-05,0.00028022746626155717,5.043766786491036e-05,0.0002801818389280735,5.048329519839402e-05,0.00032668273263383924,5.043766786491036e-05,0.0003266371053003556,0.00016489793184984195,0.0006399333764234089,0.00016471632655764708,0.000639751771131214,0.00016489793184984195,0.0008122143667962237,0.00016471632655764708,0.0008120327615040289,0.00016489793184984195,0.0008155566372180693,0.00016471632655764708,0.0008153750319258744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4.4070636695985346e-05,0.00019922942684140775,4.2876425418676267e-05,0.00019803521556409866,4.4070636695985346e-05,0.00022946065876423003,4.2876425418676267e-05,0.00022826644748692094,4.4070636695985346e-05,0.00028062321076385225,4.2876425418676267e-05,0.0002794289994865432,0.0001660582930292362,0.0006255746181724849,0.0001657884425417046,0.0006253047676849533,0.0001660582930292362,0.0006321010335524994,0.0001657884425417046,0.0006318311830649677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
