,CJPL_high__allDSNBMethod1,CJPL_high__allDSNBMethod2,CJPL_high__noelsebgMethod1,CJPL_high__noelsebgMethod2,CJPL_high__lessatmbgMethod1,CJPL_high__lessatmbgMethod2,CJPL_high__lessatmlesselseMethod1,CJPL_high__lessatmlesselseMethod2,CJPL_low__allDSNBMethod1,CJPL_low__allDSNBMethod2,CJPL_low__noelsebgMethod1,CJPL_low__noelsebgMethod2,CJPL_low__lessatmbgMethod1,CJPL_low__lessatmbgMethod2,CJPL_low__lessatmlesselseMethod1,CJPL_low__lessatmlesselseMethod2,Kamioka_high__allDSNBMethod1,Kamioka_high__allDSNBMethod2,Kamioka_high__noelsebgMethod1,Kamioka_high__noelsebgMethod2,Kamioka_high__lessatmbgMethod1,Kamioka_high__lessatmbgMethod2,Kamioka_high__lessatmlesselseMethod1,Kamioka_high__lessatmlesselseMethod2,Kamioka_low__allDSNBMethod1,Kamioka_low__allDSNBMethod2,Kamioka_low__noelsebgMethod1,Kamioka_low__noelsebgMethod2,Kamioka_low__lessatmbgMethod1,Kamioka_low__lessatmbgMethod2,Kamioka_low__lessatmlesselseMethod1,Kamioka_low__lessatmlesselseMethod2,LNGS_high__allDSNBMethod1,LNGS_high__allDSNBMethod2,LNGS_high__noelsebgMethod1,LNGS_high__noelsebgMethod2,LNGS_high__lessatmbgMethod1,LNGS_high__lessatmbgMethod2,LNGS_high__lessatmlesselseMethod1,LNGS_high__lessatmlesselseMethod2,LNGS_low__allDSNBMethod1,LNGS_low__allDSNBMethod2,LNGS_low__noelsebgMethod1,LNGS_low__noelsebgMethod2,LNGS_low__lessatmbgMethod1,LNGS_low__lessatmbgMethod2,LNGS_low__lessatmlesselseMethod1,LNGS_low__lessatmlesselseMethod2,SURF_high__allDSNBMethod1,SURF_high__allDSNBMethod2,SURF_high__noelsebgMethod1,SURF_high__noelsebgMethod2,SURF_high__lessatmbgMethod1,SURF_high__lessatmbgMethod2,SURF_high__lessatmlesselseMethod1,SURF_high__lessatmlesselseMethod2,SURF_low__allDSNBMethod1,SURF_low__allDSNBMethod2,SURF_low__noelsebgMethod1,SURF_low__noelsebgMethod2,SURF_low__lessatmbgMethod1,SURF_low__lessatmbgMethod2,SURF_low__lessatmlesselseMethod1,SURF_low__lessatmlesselseMethod2,SNOlab_high__allDSNBMethod1,SNOlab_high__allDSNBMethod2,SNOlab_high__noelsebgMethod1,SNOlab_high__noelsebgMethod2,SNOlab_high__lessatmbgMethod1,SNOlab_high__lessatmbgMethod2,SNOlab_high__lessatmlesselseMethod1,SNOlab_high__lessatmlesselseMethod2,SNOlab_low__allDSNBMethod1,SNOlab_low__allDSNBMethod2,SNOlab_low__noelsebgMethod1,SNOlab_low__noelsebgMethod2,SNOlab_low__lessatmbgMethod1,SNOlab_low__lessatmbgMethod2,SNOlab_low__lessatmlesselseMethod1,SNOlab_low__lessatmlesselseMethod2
"(0.001, 0.9)",2736394.9423729395,1000000.0,,10874.450225152785,2736394.9423729395,1000000.0,,5936.790913473126,2256523.585985139,1000000.0,,10887.778108412418,2256523.585985139,1000000.0,,5923.987546498464,2736471.0430255984,1000000.0,,12756.695166616631,2736471.0430255984,1000000.0,,6864.657197066817,2256599.6866379296,1000000.0,,12776.963362453203,2256599.6866379296,1000000.0,,6847.771517348525,2736579.181415868,1000000.0,,15718.57325692105,2736579.181415868,1000000.0,,8513.378909349607,2256707.825028388,1000000.0,,15725.201755346327,2256707.825028388,1000000.0,,8474.179747187109,2736769.119952837,1000000.0,,21067.01473477407,2736769.119952837,1000000.0,,11817.016537455298,2256897.763565686,1000000.0,,21107.528977166265,2256897.763565686,1000000.0,,11777.072197933714,2736771.241407679,1000000.0,,21475.87417559769,2736771.241407679,1000000.0,,11737.772520584982,2256899.8850205312,1000000.0,,21433.256628886345,2256899.8850205312,1000000.0,,11891.145674211915
"(0.001, 0.8)",2213279.771629948,1000000.0,,8829.589971890908,2213279.771629948,1000000.0,,4793.980366007261,1825136.9675914806,1000000.0,,8856.30339897532,1825136.9675914806,1000000.0,,4784.401839395202,2213341.3254616647,1000000.0,,10351.505302358573,2213341.3254616647,1000000.0,,5479.924492142584,1825198.5214232835,1000000.0,,10364.68670167471,1825198.5214232835,1000000.0,,5465.091289463675,2213428.79294117,1000000.0,,12752.394651628163,2213428.79294117,1000000.0,,6885.785980392157,1825285.9889029125,1000000.0,,12755.834955319995,1825285.9889029125,1000000.0,,6871.622903319276,2213582.424274575,1000000.0,,17134.816532191668,2213582.424274575,1000000.0,,9408.214599409817,1825439.6202365342,1000000.0,,17134.240835632638,1825439.6202365342,1000000.0,,9386.869565217392,2213584.1402082723,1000000.0,,17313.875694525555,2213584.1402082723,1000000.0,,9411.019882664952,1825441.3361702345,1000000.0,,17280.037261045123,1825441.3361702345,1000000.0,,9374.222320395837
"(0.01, 0.9)",1863625.885678394,1000000.0,,7512.889683350357,1863625.885678394,1000000.0,,4105.844628405512,1536814.1985411122,1000000.0,,7522.187347816836,1536814.1985411122,1000000.0,,4088.797032013192,1863677.71328251,1000000.0,,8946.53335003619,1863677.71328251,1000000.0,,4848.014383004676,1536866.0261453278,1000000.0,,8923.88452924333,1536866.0261453278,1000000.0,,4833.983264856199,1863751.3598740294,1000000.0,,10960.72271149396,1863751.3598740294,1000000.0,,5983.406605504588,1536939.6727369889,1000000.0,,10957.765901998007,1536939.6727369889,1000000.0,,5959.11445823104,1863880.715654256,1000000.0,,14433.160211368184,1863880.715654256,1000000.0,,7984.514000000002,1537069.028517464,1000000.0,,14409.863767198205,1537069.028517464,1000000.0,,7947.812399473608,1863882.1604502965,1000000.0,,14603.177281408287,1863882.1604502965,1000000.0,,8215.982896170039,1537070.4733135074,1000000.0,,14558.699085923221,1537070.4733135074,1000000.0,,8224.56679933665
"(0.01, 0.8)",1436764.6493725525,1000000.0,,5791.030229014009,1436764.6493725525,1000000.0,,3115.2051895704753,1184802.7539418314,970861.6690316112,,5793.078238463341,1184802.7539418314,969164.0744724254,,3102.321636701798,1436804.6068829002,1000000.0,,6820.626307983852,1436804.6068829002,1000000.0,,3750.2995642701526,1184842.7114522438,970456.3591391421,,6806.253632317124,1184842.7114522438,971803.8348780943,,3730.4240824009203,1436861.3861705572,1000000.0,,8400.669317562522,1436861.3861705572,1000000.0,,4538.996868528714,1184899.4907399942,970817.8395143979,,8396.514137393302,1184899.4907399942,968823.5007435968,,4532.080364232258,1436961.1155525157,1000000.0,,11081.097783017958,1436961.1155525157,1000000.0,,6028.430260564924,1184999.2201221155,970987.7639005155,,11033.343812892008,1184999.2201221155,971199.6822132635,,6023.413483146068,1436962.2294464281,1000000.0,,11098.67272361809,1436962.2294464281,1000000.0,,6250.904622322435,1185000.3340160307,969382.4094655183,,11092.85416064423,1185000.3340160307,969982.631543549,,6223.923921510443
"(0.1, 0.9)",941192.5990449378,771406.4052868153,,3827.764059400633,941192.5990449378,770052.1751239169,,2263.9838176439885,776148.2864758458,631383.0383076301,,3822.0357345433927,776148.2864758458,633797.0408280623,,2261.9146037451446,941218.772684466,770908.5375588529,,4476.665367866148,941218.772684466,771770.8352426945,,2441.0219780219786,776174.460115429,632402.4396674373,,4486.083963425357,776174.460115429,630856.1890431318,,2436.312629574783,941255.965207095,771802.932027032,,5642.405353531892,941255.965207095,771897.752697271,,3146.27922782156,776211.6526381366,633105.945192609,,5637.403165897178,776211.6526381366,632737.7306548961,,3137.6528012957383,941321.2916218565,770964.9850280051,,7366.020438411733,941321.2916218565,772295.0892606078,,4130.270313689017,776276.9790530342,633337.433759247,,7376.449500730158,776276.9790530342,630868.6670070112,,4118.262987151578,941322.0212633555,772712.0761795663,,7457.061624865365,941322.0212633555,772992.1044568247,,4003.495996925641,776277.708694535,630813.4491150443,,7468.726984617764,776277.708694535,630665.3820224719,,4424.588243737889
"(0.1, 0.8)",645861.608226511,529201.6289720478,,2703.5545522949587,645861.608226511,528697.3231209648,,1468.7213336757807,532602.3935013417,437943.289278569,,2700.972455089821,532602.3935013417,437455.7458794881,,1469.2640625731817,645879.5694989322,529978.4762550083,,3066.6905211935978,645879.5694989322,527844.2501076461,,1718.9260420140047,532620.354773799,437253.7882179846,,3063.479096989967,532620.354773799,438429.8757238309,,1719.683483483484,645905.0923166606,529336.1979185911,,3953.8948441676553,645905.0923166606,529964.5781695853,,2188.2018922298953,532645.8775915788,437907.4709274389,,3941.575741093283,532645.8775915788,437394.4628456392,,2182.1515610627134,645949.9216011222,529454.9463115879,,5015.361847040115,645949.9216011222,528939.1016152179,,2797.146588891708,532690.7068761301,438029.28338309645,,5022.905410653999,532690.7068761301,438891.3929173693,,2790.53575286239,645950.4223067928,531393.9598636202,,5032.458545680548,645950.4223067928,529104.9304332141,,2922.070671862455,532691.2075818019,437460.83844044013,,5022.964827282453,532691.2075818019,437555.0062323965,,2909.234184043785
