,dsnb
0,"(9.975, 14.462499999999999, 3.55375, 3.7224999999999997, 1, 1)"
1,"(14.462499999999999, 18.95, 3.4862499999999996, 3.7224999999999997, 1, 1)"
2,"(18.95, 23.4375, 3.3175, 3.8237499999999995, 1, 1)"
