,atm_CJPL_high,atm_CJPL_low,atm_Kamioka_high,atm_Kamioka_low,atm_LNGS_high,atm_LNGS_low,atm_SURF_high,atm_SURF_low,atm_SNOlab_high,atm_SNOlab_low,hep_CJPL_high,hep_CJPL_low,hep_Kamioka_high,hep_Kamioka_low,hep_LNGS_high,hep_LNGS_low,hep_SURF_high,hep_SURF_low,hep_SNOlab_high,hep_SNOlab_low,dsnb_CJPL_high,dsnb_CJPL_low,dsnb_Kamioka_high,dsnb_Kamioka_low,dsnb_LNGS_high,dsnb_LNGS_low,dsnb_SURF_high,dsnb_SURF_low,dsnb_SNOlab_high,dsnb_SNOlab_low
"(0.001, 0.9)",3512.0015834811247,3509.3663790427713,2362.0639215413507,2469.0007007708477,1515.276202588464,1514.4671516915244,909.6321567302821,909.1256483185545,902.4287099119476,901.7298563149956,6725.789497408159,5187.650696651186,6723.320201356971,5192.099821348817,6735.737763807813,5195.7007351197535,6740.943873298139,5188.917139001351,6737.887822270982,5194.421440261865,17429.174132138858,17572.78045157457,19940.88742393509,20233.456679971823,23437.02891382918,23532.16495806151,30270.363013698636,29639.89756722151,30167.67134092901,30012.218464351005
"(0.01, 0.9)",2505.9715302491104,2503.972972972973,1696.4008097165993,1696.2824726134586,1066.6425869545162,1064.2654237288136,641.6435058078141,640.6253630203292,637.6454005934719,636.9769717904433,4595.2935520362,3542.117647058824,4587.087489551408,3535.3839977057646,4583.268366320028,3538.788467874794,4588.892999733831,3536.491208167896,4579.885579937304,3536.771073903002,12018.81690140845,12186.770569046757,13809.89563332301,13770.761229314421,16396.6173389209,16195.466751918158,20502.274387712743,20583.668983174834,20412.666315234583,20497.366413778964
"(0.1, 0.9)",1311.9637487126674,1311.2443519000522,1004.805339265851,1004.1164167821595,594.5998588567396,594.8043038877661,360.94088397790057,361.1526251526252,358.6263403904317,358.6685244531141,2318.4292134831467,1788.3584167029144,2322.784172661871,1794.374781849913,2311.267343485618,1785.7649887784546,2320.974745703262,1788.1202146690523,2314.822152886115,1787.5130910511919,6287.175371711781,6473.46048697138,7014.989687399291,7187.601328903655,8275.028635597979,8415.350883519654,10660.107448414696,10508.497422680413,10610.123274161735,10589.488967583766
"(0.001, 0.95)",4207.725579150579,4204.9014084507035,2885.615555555555,2883.154827548924,1866.611383709519,1865.750848279205,1097.249144031043,1096.6493891590558,1091.1956313010082,1089.4889077463934,7917.2836268265255,6098.208767517066,7901.423570595096,6099.863432531592,7889.479659413432,6104.203476886605,7907.077839217352,6099.838181073328,7901.83181225554,6097.172461752432,20741.619003690037,21071.48108108108,23529.344245696928,23635.50908356883,27757.694674164737,28007.224733613173,35203.47768762677,35380.34744525547,34988.362499999996,35297.46987951807
"(0.01, 0.95)",3024.9648688767934,3027.9448994787786,2086.799645165378,2086.76269456494,1326.1769444077643,1326.0842200882428,766.477468839885,767.0123999372154,761.718112244898,761.5892976588627,5566.1588079969815,4298.709271270507,5562.82303706656,4275.83106625713,5556.6777635510025,4283.915657620042,5567.3073861123385,4286.698597000483,5562.017873100983,4282.560915780867,14847.559958826556,14801.799078871616,16791.244105409154,16741.782688766114,19860.472222222223,20116.286997266692,24857.726123595505,25062.45590682196,24881.40261627907,25080.719553072624
"(0.1, 0.95)",1797.3726708074532,1796.5489186405764,1253.2136319376825,1252.3563104878529,761.2993920972643,758.9363636363635,475.16457891693955,473.85969438380624,471.82688391038687,471.906610066707,3027.7882352941165,2325.6148610323303,3026.0129870129863,2339.4761904761904,3018.92256783587,2339.870229007632,3029.7519708914488,2336.3730834752973,3021.3123556581972,2333.7058823529405,8203.240057845263,8381.560975609756,9341.184045226131,9318.969788519636,10998.386673948662,11137.264557542412,13878.619551934826,13719.084239130434,13951.324056423942,13793.638026371756
"(0.001, 0.8)",2806.2954596287186,2805.1867555109307,1941.2846741526946,1939.3445076324454,1163.3317613511736,1162.317347700843,718.0295985484237,717.6832263151966,713.5648838465695,713.7072585482904,5448.675767918089,4202.393312101911,5444.300245527886,4193.285847011459,5445.370932754881,4197.898721399731,5448.499461455609,4207.1657943349755,5446.574704003007,4200.597498396408,14106.221175649747,14248.513468013469,15962.965280816923,15913.309054200963,18787.992592592593,19041.600563668973,23960.317734275453,24155.344270205067,23980.575042158518,24175.32517793594
"(0.01, 0.8)",1839.5827956989249,1837.5789648124621,1302.358646568721,1301.5812344139651,803.0221860370447,803.1386326641347,513.8907053995962,513.5343863572826,458.89864158829675,458.566368463161,3538.595150465469,2721.822385114181,3535.214470893236,2724.3221153846157,3540.7759220598477,2728.3395887402676,3534.830985915493,2734.661623353507,3536.67935483871,2732.426338054074,9390.278082518484,9360.149905634942,10653.657020960862,10623.020454118972,12462.210031347962,12584.41798573665,15628.724696356276,15848.028063241107,15560.780679584386,15777.748375977728
"(0.1, 0.8)",984.3203292770223,984.2570530624178,641.0153674210674,640.5175375805297,431.16721419185285,431.1073145154243,249.21189296333003,248.79666829985305,247.46444662095988,247.4256380170138,1587.8514623726587,1226.2178571428574,1592.8824091778206,1235.4003808616997,1593.0155688622758,1229.2004773269693,1586.2908970976257,1229.353383458647,1586.7528421052637,1228.153529108707,4392.415150232755,4379.2437835202345,4898.233754234679,4885.283068783069,5736.681294807734,5719.642366613841,7072.057306590258,7314.9210127678,7169.334351145038,7285.762987613238
