,Er_range lessbgMethod2
CJPL_high_,5.763-95.0
CJPL_low_,5.763-95.0
Kamioka_high_,5.128-95.0
Kamioka_low_,5.128-95.0
LNGS_high_,5.128-95.0
LNGS_low_,5.128-95.0
SURF_high_,5.128-95.0
SURF_low_,5.128-95.0
SNOlab_high_,5.128-95.0
SNOlab_low_,5.128-95.0
