,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",5834.374675669436,4486.693202343129,5829.321968232383,4500.691886880403,5826.890061229743,4504.880201698198,5839.969169775077,4499.032364671714,5865.941628175587,4502.238200626147
"(0.01, 0.9)",4000.0641629934908,3063.843078702932,3973.0743250758483,3066.3819608559747,3961.1023441605257,3069.8489561230817,3976.438337005104,3069.619657081057,3962.1919746722756,3077.7807254491167
"(0.1, 0.9)",2007.3866465835488,1544.1035025124054,2004.2253424752498,1542.8422360957168,2001.7266744949197,1551.3689693943188,2014.9332557610494,1549.381808938077,2012.357526254253,1533.736521407944
