,CJPL_0.001_N_alpha,CJPL_0.001_G,CJPL_0.005_N_alpha,CJPL_0.005_G,CJPL_0.01_N_alpha,CJPL_0.01_G,CJPL_0.05_N_alpha,CJPL_0.05_G,CJPL_0.1_N_alpha,CJPL_0.1_G,Kamioka_0.001_N_alpha,Kamioka_0.001_G,Kamioka_0.005_N_alpha,Kamioka_0.005_G,Kamioka_0.01_N_alpha,Kamioka_0.01_G,Kamioka_0.05_N_alpha,Kamioka_0.05_G,Kamioka_0.1_N_alpha,Kamioka_0.1_G,LNGS_0.001_N_alpha,LNGS_0.001_G,LNGS_0.005_N_alpha,LNGS_0.005_G,LNGS_0.01_N_alpha,LNGS_0.01_G,LNGS_0.05_N_alpha,LNGS_0.05_G,LNGS_0.1_N_alpha,LNGS_0.1_G,SURF_0.001_N_alpha,SURF_0.001_G,SURF_0.005_N_alpha,SURF_0.005_G,SURF_0.01_N_alpha,SURF_0.01_G,SURF_0.05_N_alpha,SURF_0.05_G,SURF_0.1_N_alpha,SURF_0.1_G,SNOlab_0.001_N_alpha,SNOlab_0.001_G,SNOlab_0.005_N_alpha,SNOlab_0.005_G,SNOlab_0.01_N_alpha,SNOlab_0.01_G,SNOlab_0.05_N_alpha,SNOlab_0.05_G,SNOlab_0.1_N_alpha,SNOlab_0.1_G,exposures
0,2.5249678625685994,4.717084960703941,1.8194963877841475,3.2635356667760713,1.6148046223765047,2.8417899524337096,0.9226246772462205,1.4156264483422614,0.681452214825212,0.9187161195809027,2.8529947240512676,4.274554328306156,1.9788646588352987,2.7850624561616577,1.8066938350200572,2.491688445933712,0.8676310871162263,0.8915531959342116,0.8551310206216224,0.8702534509810642,3.070762029393817,3.963460191010187,2.6589172251718973,3.342881408618436,1.959489509576784,2.2889649923725375,1.2544761195011636,1.226631932205396,0.8080962078488301,0.5540147249039884,3.6749840677348775,4.207510438955224,2.7825605347626836,3.0054798396866693,2.48572224227414,2.6056599140315084,1.7696277395543798,1.641131892935531,0.9491122861515264,0.5359563280575572,3.5876506582606207,4.3472495557272275,2.7980451655680785,3.234314626948302,2.4886292568334945,2.7981983948077054,1.4395337740966312,1.3195169302441405,0.9767762623989276,0.6672684300887147,100
1,2.684905361666163,4.518300709663773,1.857485957936658,2.962029136598444,1.740947183297975,2.7428343953190377,1.0455145152795131,1.4348132305507968,0.767810906384993,0.9124877565382488,2.958993654724141,3.959851937203363,2.415231922546381,3.1140277555166613,1.9007711172529977,2.313781316870799,1.155531454707138,1.154557174324369,0.9353347573007281,0.8120400746969813,3.602053239785377,4.227774351201279,2.841159396308625,3.1811356758201397,2.566546117107915,2.803394574024139,1.4989819871086334,1.334919153325055,0.9977283818702065,0.6454255874163478,4.085526123225529,4.210156343006147,2.9156483158275988,2.7717076074709173,2.8293116888335246,2.6655505275223454,1.982825308057879,1.6247347633676297,1.4518497778707138,0.9718622367088878,3.962647319523305,4.321443908464605,2.937667464114835,3.00262756976387,2.632291304045114,2.6097075848250992,1.8826021940688218,1.6451010689353471,1.2786471509456685,0.8680069880042618,120
2,3.0015338219080707,4.571206081293303,1.9424244863785793,2.752720522490621,1.841075117577251,2.5787041510204913,0.8636265457707031,0.9004297248830978,0.848803313645917,0.8749783076880759,3.5447775818146194,4.329259587004661,2.6913841301406665,3.1174618422227884,2.462772967247971,2.792839604869165,1.6253002397646124,1.6036488974762166,0.8496090865062969,0.5021865083263105,4.034617962466479,4.269849801849614,2.967284964615839,2.9296115101787517,2.791408176047547,2.7087649635714564,1.9372050373365695,1.6361514889844986,1.3750181273806836,0.9302195770916784,4.234077066238163,3.8615829099723755,3.389653279572018,2.9137675950639013,2.898370615393199,2.36233211869471,2.0033532847084397,1.357728569473625,1.6875598316084892,1.0032692613367946,3.8119261494922263,3.625992095474863,3.3152095635892023,3.0425644183296083,2.9082654021644574,2.564580607106088,2.0791331483504827,1.5907079428593995,1.6083694496238619,1.0377637106206894,144
3,2.9492046138415073,3.9815251732896386,2.3919877547764363,3.1086512833183813,1.8934491059458258,2.3276961441721475,1.2942911166800841,1.389121949422826,0.780902618163412,0.5849046891650566,3.9418369825462554,4.3347688770119825,2.8448002795673384,2.9135525563450777,2.613309428444929,2.613655046255514,1.8653930463935335,1.6447257790949648,1.2515707146667259,0.8495159985369487,4.0242180451128045,3.7373310142905516,3.298362803627596,2.905777320002357,2.863532969767166,2.4076279176593953,1.9729854391150665,1.3873995763475235,1.640650135235688,1.0066698744887561,4.887902205707944,4.028945510582997,3.69062495277531,2.8028729044102714,3.352583693405973,2.456701516911112,2.3819142912434845,1.4626868384175529,2.0901365962502836,1.1638916862945776,4.628694104243642,4.026976896209666,3.9530949519230845,3.3029984174768505,3.110441634707582,2.4000031064238567,2.4264052717071873,1.666983232461701,1.9877155857355477,1.196879191634206,173
4,3.5044700743873647,4.306604975919761,2.7772688100762286,3.2677061290432245,2.2424841265218016,2.5036986687451117,1.6070279941494605,1.5958693296588826,0.8449835936966481,0.5071926623416183,4.226425684777714,4.14709567152101,3.134138075313781,2.8565677073837077,2.8995957466679103,2.579458060374229,1.803478060754832,1.2844048954385476,1.589605213568091,1.0317160544476558,4.777636018557562,4.03453258835973,4.036810678205759,3.260520945761624,3.251981913419099,2.4405346840844895,2.5523316249469987,1.7095425871249499,1.8407712053990548,0.9661068281907876,5.336588720770292,3.9132355504481833,4.525936297481634,3.1561455203042996,3.952969271290602,2.621036254398909,2.9907198649251217,1.7223657377356083,2.364725225168797,1.1377325619531111,5.1833008235804146,4.0424132769372605,4.218212237093686,3.0992321020981493,3.9324018470497237,2.819909578510729,2.8318955862633284,1.7443846966499652,2.1932288011304193,1.1202155818485446,208
5,3.9315426753843496,4.344078062715545,2.923441479000068,3.0330331313305448,2.7146034029283452,2.7614372815328854,1.8548666630784445,1.6433416983231885,1.2378651287645555,0.8409254953464407,4.603319155177563,4.021270123688213,3.5478180926697718,2.88604003338292,3.08497766690911,2.388238186471622,2.4057006219020765,1.6576508203978382,1.7802573293458863,0.9849636287786799,5.220837343599642,3.9141282520699634,4.377599947453716,3.1121246305525685,4.034874860297357,2.786158583101919,2.9295069978954618,1.7348425091147925,2.259912095469907,1.097990373346909,5.679293657331138,3.6521556394495276,4.874766935985069,2.9681682074047697,4.500308641975321,2.6498136268396135,3.3303698327581075,1.6551624604655322,2.547456938723198,0.9895505352212002,5.551576491953141,3.8149722964577375,4.782967432393136,3.131173628606548,4.105624631585259,2.528570654948963,3.1404920099905427,1.6699333636789522,2.613574461098704,1.2011573148955665,251
6,4.162271968694277,4.101038137132945,3.4525321319475153,3.2581571823225253,2.890965817345847,2.5912458340594147,1.917484953750453,1.4351482933633495,1.5548182399349095,1.0044484084309047,5.164630347991034,4.054281463015853,4.205806771098877,3.112570694509041,3.911753169966395,2.8237652777688442,2.813609872427408,1.7452213270579222,2.1831871180752094,1.1260501773355958,5.625014893511402,3.7340575874859914,4.915628406575853,3.1179408668355997,4.312153283062136,2.5938103386385745,2.9784466328750088,1.4354587450346088,2.666918609554442,1.1648902641658652,6.586451911220711,3.8253677108423183,5.565526277478503,3.032765334798343,4.928511210582304,2.5382144694752475,3.6715217770251765,1.5623423992955299,3.194227475056288,1.1917918074506428,5.77147006255586,3.457909459625395,5.198272879864092,2.992237153056394,4.665515686796862,2.5594187819475254,3.5181727678108454,1.6273035524190218,2.993187268829364,1.2007989993471921,301
7,4.557599554786085,4.004004204906071,3.5280648579906706,2.8906381362513414,3.0551155740810945,2.3791782636132544,2.3006127370655056,1.563238927084205,1.7685133603973033,0.9878125786777733,5.761333333333263,4.034536116921345,4.818027350427336,3.1908879711516382,4.090234922379442,2.539984930617154,3.12559860361518,1.6772599437994418,2.2992389870011936,0.9382030832167174,6.475888541370528,3.8572279655317625,5.343288798631896,2.9614786649525855,4.727654739453256,2.474586643779626,3.602382307689508,1.5846323592446945,3.1141367767452075,1.198489244116695,7.4289540521820125,3.8374102175723115,6.120740441572435,2.912563285941927,5.587615793627727,2.535668648224126,3.9918441541194203,1.4075313987619702,3.483753081632088,1.04833434900819,6.712327327327356,3.61394630401911,5.981856783015458,3.0735541840859373,5.050459550023919,2.3845192474201244,3.8069509491089306,1.4645885887012415,3.153369579773415,0.9810780290020134,363
8,5.123409177150495,4.042095061667945,4.19500256743287,3.1259899940932225,3.503923224186823,2.4440675671983154,2.796646477269914,1.7461623549277823,2.172673594884494,1.1304572171149978,5.764625267063986,3.4788355498460186,5.054214556685323,2.899102131592077,4.631994938844367,2.5545481732567077,3.3936257423391463,1.543972182689657,2.726080059671805,0.9992189367157597,6.790477962018133,3.514540623960377,6.006437316668794,2.9487461982054004,5.5517928988869505,2.6206569864949922,3.813819102129625,1.366467051130901,3.375774681886204,1.0503570475527468,7.838846767757439,3.506300639987762,7.077004447001583,3.0148653284562674,6.523490996703024,2.6578149947146787,4.697672756300077,1.4800495551653419,4.186148330692486,1.150084733566787,7.794900734294216,3.7802720631865143,6.56418792781577,2.9495168273491372,5.976478092149085,2.5528011837293403,4.527269218404999,1.5745568253807598,3.885151402056573,1.1411147297530166,436
9,5.760511978766473,4.073960749853505,4.7797394818503145,3.191179822292555,4.203100461873207,2.672154329098343,3.104349416806148,1.6831824015894716,2.4695550720386654,1.1118120356317198,6.772299685781589,3.697790149449747,5.777538631346601,2.957306948317234,5.179187894264409,2.511904841731671,3.7909347580515336,1.478512830954732,3.094057557601656,0.9597693016571504,7.930916068830606,3.701451702820743,6.867519077299502,3.001459640273887,6.340493803818709,2.6545398058788585,4.742914585188911,1.6029167702329494,4.054208899907962,1.1495691333984355,9.139048688087527,3.677993175189047,7.647173620457597,2.8001613498881874,6.786464148167377,2.2937126642656156,5.644626389875533,1.6218457329741487,4.658914467130674,1.0418445551687021,8.666989132224575,3.7124953084122905,7.105859196850745,2.751252684941454,6.880703504407331,2.6126164038801507,4.959146439803241,1.42944611672103,4.400836692714182,1.0856751634898278,524
