,CJPL_high__allHEPMethod1,CJPL_high__allHEPMethod2,CJPL_high__no8BgMethod1,CJPL_high__no8BbgMethod2,CJPL_high_NR_Argon_tot_smear0.1_allHEPMethod1,CJPL_high_NR_Argon_tot_smear0.1_allHEPMethod2,CJPL_high_NR_Argon_tot_smear0.1_no8BgMethod1,CJPL_high_NR_Argon_tot_smear0.1_no8BbgMethod2,CJPL_low__allHEPMethod1,CJPL_low__allHEPMethod2,CJPL_low__no8BgMethod1,CJPL_low__no8BbgMethod2,CJPL_low_NR_Argon_tot_smear0.1_allHEPMethod1,CJPL_low_NR_Argon_tot_smear0.1_allHEPMethod2,CJPL_low_NR_Argon_tot_smear0.1_no8BgMethod1,CJPL_low_NR_Argon_tot_smear0.1_no8BbgMethod2,Kamioka_high__allHEPMethod1,Kamioka_high__allHEPMethod2,Kamioka_high__no8BgMethod1,Kamioka_high__no8BbgMethod2,Kamioka_high_NR_Argon_tot_smear0.1_allHEPMethod1,Kamioka_high_NR_Argon_tot_smear0.1_allHEPMethod2,Kamioka_high_NR_Argon_tot_smear0.1_no8BgMethod1,Kamioka_high_NR_Argon_tot_smear0.1_no8BbgMethod2,Kamioka_low__allHEPMethod1,Kamioka_low__allHEPMethod2,Kamioka_low__no8BgMethod1,Kamioka_low__no8BbgMethod2,Kamioka_low_NR_Argon_tot_smear0.1_allHEPMethod1,Kamioka_low_NR_Argon_tot_smear0.1_allHEPMethod2,Kamioka_low_NR_Argon_tot_smear0.1_no8BgMethod1,Kamioka_low_NR_Argon_tot_smear0.1_no8BbgMethod2,LNGS_high__allHEPMethod1,LNGS_high__allHEPMethod2,LNGS_high__no8BgMethod1,LNGS_high__no8BbgMethod2,LNGS_high_NR_Argon_tot_smear0.1_allHEPMethod1,LNGS_high_NR_Argon_tot_smear0.1_allHEPMethod2,LNGS_high_NR_Argon_tot_smear0.1_no8BgMethod1,LNGS_high_NR_Argon_tot_smear0.1_no8BbgMethod2,LNGS_low__allHEPMethod1,LNGS_low__allHEPMethod2,LNGS_low__no8BgMethod1,LNGS_low__no8BbgMethod2,LNGS_low_NR_Argon_tot_smear0.1_allHEPMethod1,LNGS_low_NR_Argon_tot_smear0.1_allHEPMethod2,LNGS_low_NR_Argon_tot_smear0.1_no8BgMethod1,LNGS_low_NR_Argon_tot_smear0.1_no8BbgMethod2,SURF_high__allHEPMethod1,SURF_high__allHEPMethod2,SURF_high__no8BgMethod1,SURF_high__no8BbgMethod2,SURF_high_NR_Argon_tot_smear0.1_allHEPMethod1,SURF_high_NR_Argon_tot_smear0.1_allHEPMethod2,SURF_high_NR_Argon_tot_smear0.1_no8BgMethod1,SURF_high_NR_Argon_tot_smear0.1_no8BbgMethod2,SURF_low__allHEPMethod1,SURF_low__allHEPMethod2,SURF_low__no8BgMethod1,SURF_low__no8BbgMethod2,SURF_low_NR_Argon_tot_smear0.1_allHEPMethod1,SURF_low_NR_Argon_tot_smear0.1_allHEPMethod2,SURF_low_NR_Argon_tot_smear0.1_no8BgMethod1,SURF_low_NR_Argon_tot_smear0.1_no8BbgMethod2,SNOlab_high__allHEPMethod1,SNOlab_high__allHEPMethod2,SNOlab_high__no8BgMethod1,SNOlab_high__no8BbgMethod2,SNOlab_high_NR_Argon_tot_smear0.1_allHEPMethod1,SNOlab_high_NR_Argon_tot_smear0.1_allHEPMethod2,SNOlab_high_NR_Argon_tot_smear0.1_no8BgMethod1,SNOlab_high_NR_Argon_tot_smear0.1_no8BbgMethod2,SNOlab_low__allHEPMethod1,SNOlab_low__allHEPMethod2,SNOlab_low__no8BgMethod1,SNOlab_low__no8BbgMethod2,SNOlab_low_NR_Argon_tot_smear0.1_allHEPMethod1,SNOlab_low_NR_Argon_tot_smear0.1_allHEPMethod2,SNOlab_low_NR_Argon_tot_smear0.1_no8BgMethod1,SNOlab_low_NR_Argon_tot_smear0.1_no8BbgMethod2
"(0.001, 0.9)",10718.53770813945,9910.551591613346,,55890.994204851755,,3595.219911277559,,300000.0,8255.43133893777,7667.544234437315,,52778.0615782913,,2975.7099904265847,,300000.0,10718.561123074147,9891.788660211483,,59983.549081403304,,3681.453364070341,,300000.0,8255.453257614641,7666.320697891786,,57721.29736449527,,2988.1941440748906,,300000.0,10718.593226575476,9895.87592551496,,70225.77965662329,,3627.858301087157,,300000.0,8255.483309761741,7675.865418956044,,64901.045893096074,,3058.645930391888,,300000.0,10718.65094236644,9892.23614989276,,81437.0071741419,,3865.3668584907577,,300000.0,8255.537337498437,7663.5865780638915,,77954.56067773286,,3198.8208255846307,,300000.0,10718.651683462927,9905.96860446443,,82084.94318902053,,3856.3077472549908,,300000.0,8255.538031191598,7671.511055952735,,78892.65018290204,,3189.070458617779,,300000.0
"(0.01, 0.9)",7301.437563929977,6525.594650768474,,39466.49914026909,,2418.5126290358003,,300000.0,5623.908263587856,5148.995343119874,,37540.84552400681,,2101.6029853253,,300000.0,7301.453510443105,6532.966091579862,,42192.208070791065,,2409.3890760832937,,300000.0,5623.923191089818,5158.45939817658,,40478.52826911192,,2120.340030761443,,300000.0,7301.47537421988,6570.078210801301,,49034.927518925746,,2449.389779064022,,300000.0,5623.943657812667,5160.713316588813,,45391.89259211377,,2112.980499509216,,300000.0,7301.514680996947,6542.4252817511915,,57521.87368962634,,2686.9012840360624,,300000.0,5623.980452877909,5159.092548780773,,54979.66107544572,,2270.5047861429766,,300000.0,7301.515185713491,6528.022141630083,,58278.839203110896,,2674.6255413249796,,300000.0,5623.980925310898,5166.59978796089,,55306.48432391981,,2260.470265583473,,300000.0
"(0.1, 0.9)",3689.3046484934375,3304.6763159188085,,20619.653422776042,,1279.8240038124566,,300000.0,2842.0652709234805,2554.5557627005796,,19771.021016447656,,1132.304082648743,,300000.0,3689.312701698354,3312.757239190798,,23020.523724847917,,1347.1213345864667,,300000.0,2842.0728095142827,2562.5746915200834,,21957.7786496126,,1114.2312786739678,,300000.0,3689.3237432014826,3309.3440547011924,,26336.257921626857,,1374.9362005532898,,300000.0,2842.083145486705,2554.043529955744,,24825.61137754258,,1173.300362285749,,300000.0,3689.343593655796,3312.0552891186053,,30187.11044789826,,1484.1963010587945,,300000.0,2842.1017274933297,2560.272643069798,,28756.04725218285,,1136.6660614064049,,300000.0,3689.3438485444804,3307.522886188941,,29741.70403587444,,1475.7525182212762,,300000.0,2842.101966078393,2554.8146014735435,,28374.28842438082,,1135.1128653192138,,300000.0
"(0.001, 0.95)",12574.842020665887,11586.226261927526,,67341.57944543018,,4307.302470101709,,300000.0,9685.65792249456,8724.15036913219,,60940.109134895356,,3352.527779127196,,300000.0,12574.869485225534,11589.838991956669,,74287.93649020515,,4333.313052072394,,300000.0,9685.683632018818,8719.455951720309,,69648.31812721082,,3384.596597145993,,300000.0,12574.907141043865,11586.94375657522,,81688.37887684887,,4362.8778937402785,,300000.0,9685.71888170151,8725.675523209247,,78173.92881555685,,3612.773625833911,,300000.0,12574.974838810434,11582.145720115557,,100273.82989750754,,4513.299023275566,,300000.0,9685.782253565394,8722.076605857274,,93208.49123703808,,3873.2449452984342,,300000.0,12574.97570807994,11592.605650934176,,101429.44227246629,,4513.153313221678,,300000.0,9685.783067233177,8729.74094973522,,94972.2609865169,,3848.851073597965,,300000.0
"(0.01, 0.95)",8846.471290671365,8180.860684541101,,46840.60861913549,,3050.425040269439,,300000.0,6814.346874449683,6181.880945653196,,43479.477909898495,,2454.878671989913,,300000.0,8846.490607350745,8192.363636363636,,52361.231985198625,,3059.6100174433086,,300000.0,6814.364956758637,6202.414073199527,,48947.42273156899,,2444.5891136616638,,300000.0,8846.517091859465,8185.718889737156,,58475.19885550787,,3137.903158283568,,300000.0,6814.389748958083,6198.331123953295,,56154.35055464256,,2541.019640718562,,300000.0,8846.56470580516,8196.086222652259,,71503.64118784043,,3221.6992642479872,,300000.0,6814.434320363223,6191.759712028423,,66611.37803911752,,2805.6825642380104,,300000.0,8846.565317189452,8182.847549271402,,72498.17187168689,,3213.4270361732288,,300000.0,6814.43489264111,6198.893775339851,,68202.51893458958,,2800.8166679057313,,300000.0
"(0.1, 0.95)",4808.989564292947,4379.898699595672,,25406.142180094772,,1696.822286646131,,300000.0,3704.8355002492567,3320.878581579033,,23274.68993766695,,1448.9844122413954,,300000.0,4809.000059189143,4388.812318945538,,29707.818776743006,,1730.1740245122555,,300000.0,3704.8453245028495,3323.2678002125394,,28410.003430531728,,1521.0689628025975,,300000.0,4809.01444842056,4384.721544568746,,31853.83501700594,,1723.151854603646,,300000.0,3704.8587942900904,3324.658109291827,,30861.78052550231,,1538.4341494984355,,300000.0,4809.040317432919,4381.0016384489345,,39369.75104699859,,1858.0207961348592,,300000.0,3704.883010267606,3323.7673094215193,,37276.49123107927,,1535.2706938775505,,300000.0,4809.040649602571,4385.720864354456,,39916.23416577861,,1864.1982927080112,,300000.0,3704.883321190459,3324.394259167081,,37341.62217263413,,1525.0362195189077,,300000.0
"(0.001, 0.8)",8667.1188707136,7904.251714072365,,43061.587009690105,,2816.0534794741234,,300000.0,6674.924169801901,6042.209460320157,,41157.58810391443,,2342.0877153700617,,300000.0,8667.137809825257,7914.47418325619,,49808.57644999817,,2937.918498579333,,300000.0,6674.941898667766,6033.059592079924,,46473.3467228741,,2338.7737021742796,,300000.0,8667.163776662408,7914.208041072294,,55499.464460655494,,2951.5738278516446,,300000.0,6674.966206270274,6036.934540612518,,52762.292962429354,,2385.0189855246954,,300000.0,8667.210459936288,7906.706835056866,,66617.37709237446,,3088.083986101688,,300000.0,6675.009906467255,6040.873502425028,,61429.53775290324,,2522.524210159854,,300000.0,8667.21105937034,7903.527633337451,,68158.22832565285,,3077.9065235578596,,300000.0,6675.0104675592,6042.076304705707,,63567.38237322049,,2505.0869206517577,,300000.0
"(0.01, 0.8)",5627.316406243587,5111.136265410508,,30164.056231226223,,1800.6383063638345,,300000.0,4334.053182567098,3950.7674014344775,,28674.501148657117,,1594.895900506679,,300000.0,5627.328700519971,5107.411724427707,,33047.49398395722,,1841.8512920526578,,300000.0,4334.064691216104,3949.5724262352333,,30864.614926114493,,1631.9425920776564,,300000.0,5627.345556826569,5103.921496778202,,36721.82272188955,,1973.4028145484408,,300000.0,4334.080470435573,3954.0866751398817,,33993.196413872094,,1626.2907913703066,,300000.0,5627.375861155618,5097.084963649413,,44205.95289534267,,1993.6777087888063,,300000.0,4334.10883830932,3954.097755610973,,41824.32179920794,,1712.3030874869123,,300000.0,5627.376250276715,5112.8954475546,,43474.07783018868,,1981.874452891039,,300000.0,4334.109202540756,3959.847362285049,,41135.0820182455,,1706.6901368961273,,300000.0
"(0.1, 0.8)",2530.7578071002326,2281.4839310858943,,14334.20015938372,,952.0734065608389,,300000.0,1949.3839857039961,1740.047391755872,,13258.01632302406,,802.7740490901876,,300000.0,2530.7633334926136,2280.995548502772,,15649.849934810954,,903.9948338699976,,300000.0,1949.3891589499658,1744.0526294457395,,14308.079336505081,,753.157672932552,,300000.0,2530.7709105603008,2288.5106093130785,,17042.671069868997,,946.0448116354579,,300000.0,1949.3962518575238,1739.1645776566759,,16275.950856179843,,820.4740243922245,,300000.0,2530.784532640032,2272.1960365419445,,21455.582119682767,,931.4265531914896,,300000.0,1949.4090034835783,1742.4230792627293,,20355.22831666105,,831.6924900288136,,300000.0,2530.78470755361,2281.1723276413873,,21098.94714754339,,933.2131139489196,,300000.0,1949.4091672090344,1747.5204414704806,,20065.760082885943,,827.5790277497624,,300000.0
