,CNO_high_nubb0_allMethod2,CNO_high_nubb0_noppBe7Method2,CNO_low_nubb0_allMethod2,CNO_low_nubb0_noppBe7Method2,pep_high_nubb0_allMethod2,pep_high_nubb0_noppBe7Method2,pep_low_nubb0_allMethod2,pep_low_nubb0_noppBe7Method2
"(0.001, 0.9)",41.61482122685396,20.936205619466588,80.54214604092134,37.43811282805337,152.6036878890717,44.15273219319287,141.91705381119286,38.11007335207259
"(0.01, 0.9)",28.55279576425246,14.268529095616167,55.313346364071315,25.435942067742424,104.58245987363892,30.36427609171263,96.1430437726569,25.82155587694685
"(0.1, 0.9)",14.408828540155817,7.999999999999999,27.55595717162864,12.829303261817536,52.098234666566555,15.087134275129268,48.98445580285208,13.17927343906325
