,CJPL_high__allHEPMethod1,CJPL_high__allHEPMethod2,CJPL_high__no8BgMethod1,CJPL_high__no8BbgMethod2,CJPL_high_NR_Argon_tot_smear0.1_allHEPMethod1,CJPL_high_NR_Argon_tot_smear0.1_allHEPMethod2,CJPL_high_NR_Argon_tot_smear0.1_no8BgMethod1,CJPL_high_NR_Argon_tot_smear0.1_no8BbgMethod2,CJPL_low__allHEPMethod1,CJPL_low__allHEPMethod2,CJPL_low__no8BgMethod1,CJPL_low__no8BbgMethod2,CJPL_low_NR_Argon_tot_smear0.1_allHEPMethod1,CJPL_low_NR_Argon_tot_smear0.1_allHEPMethod2,CJPL_low_NR_Argon_tot_smear0.1_no8BgMethod1,CJPL_low_NR_Argon_tot_smear0.1_no8BbgMethod2,Kamioka_high__allHEPMethod1,Kamioka_high__allHEPMethod2,Kamioka_high__no8BgMethod1,Kamioka_high__no8BbgMethod2,Kamioka_high_NR_Argon_tot_smear0.1_allHEPMethod1,Kamioka_high_NR_Argon_tot_smear0.1_allHEPMethod2,Kamioka_high_NR_Argon_tot_smear0.1_no8BgMethod1,Kamioka_high_NR_Argon_tot_smear0.1_no8BbgMethod2,Kamioka_low__allHEPMethod1,Kamioka_low__allHEPMethod2,Kamioka_low__no8BgMethod1,Kamioka_low__no8BbgMethod2,Kamioka_low_NR_Argon_tot_smear0.1_allHEPMethod1,Kamioka_low_NR_Argon_tot_smear0.1_allHEPMethod2,Kamioka_low_NR_Argon_tot_smear0.1_no8BgMethod1,Kamioka_low_NR_Argon_tot_smear0.1_no8BbgMethod2,LNGS_high__allHEPMethod1,LNGS_high__allHEPMethod2,LNGS_high__no8BgMethod1,LNGS_high__no8BbgMethod2,LNGS_high_NR_Argon_tot_smear0.1_allHEPMethod1,LNGS_high_NR_Argon_tot_smear0.1_allHEPMethod2,LNGS_high_NR_Argon_tot_smear0.1_no8BgMethod1,LNGS_high_NR_Argon_tot_smear0.1_no8BbgMethod2,LNGS_low__allHEPMethod1,LNGS_low__allHEPMethod2,LNGS_low__no8BgMethod1,LNGS_low__no8BbgMethod2,LNGS_low_NR_Argon_tot_smear0.1_allHEPMethod1,LNGS_low_NR_Argon_tot_smear0.1_allHEPMethod2,LNGS_low_NR_Argon_tot_smear0.1_no8BgMethod1,LNGS_low_NR_Argon_tot_smear0.1_no8BbgMethod2,SURF_high__allHEPMethod1,SURF_high__allHEPMethod2,SURF_high__no8BgMethod1,SURF_high__no8BbgMethod2,SURF_high_NR_Argon_tot_smear0.1_allHEPMethod1,SURF_high_NR_Argon_tot_smear0.1_allHEPMethod2,SURF_high_NR_Argon_tot_smear0.1_no8BgMethod1,SURF_high_NR_Argon_tot_smear0.1_no8BbgMethod2,SURF_low__allHEPMethod1,SURF_low__allHEPMethod2,SURF_low__no8BgMethod1,SURF_low__no8BbgMethod2,SURF_low_NR_Argon_tot_smear0.1_allHEPMethod1,SURF_low_NR_Argon_tot_smear0.1_allHEPMethod2,SURF_low_NR_Argon_tot_smear0.1_no8BgMethod1,SURF_low_NR_Argon_tot_smear0.1_no8BbgMethod2,SNOlab_high__allHEPMethod1,SNOlab_high__allHEPMethod2,SNOlab_high__no8BgMethod1,SNOlab_high__no8BbgMethod2,SNOlab_high_NR_Argon_tot_smear0.1_allHEPMethod1,SNOlab_high_NR_Argon_tot_smear0.1_allHEPMethod2,SNOlab_high_NR_Argon_tot_smear0.1_no8BgMethod1,SNOlab_high_NR_Argon_tot_smear0.1_no8BbgMethod2,SNOlab_low__allHEPMethod1,SNOlab_low__allHEPMethod2,SNOlab_low__no8BgMethod1,SNOlab_low__no8BbgMethod2,SNOlab_low_NR_Argon_tot_smear0.1_allHEPMethod1,SNOlab_low_NR_Argon_tot_smear0.1_allHEPMethod2,SNOlab_low_NR_Argon_tot_smear0.1_no8BgMethod1,SNOlab_low_NR_Argon_tot_smear0.1_no8BbgMethod2
"(0.001, 0.9)",10766.37636256895,9931.041261103423,,1374.7384437756707,,11749.45893442607,,-1,8292.358906610127,7688.198347067044,,1269.1394748540363,7147.870483535955,9094.94886062538,,-1,10766.399943203793,9910.870154233076,,1505.9731742174088,,11760.610806047072,,-1,8292.380980090727,7681.858953791849,,1280.09170993498,7164.707325585215,9221.370984816069,,-1,10766.4307312855,9912.055179188592,,1588.3656083409664,,11850.31405817105,,-1,8292.409800659616,7669.565441287941,,1400.2742553133294,7187.941510461781,9555.985407098753,,-1,10766.4863580794,9913.74167310879,,1695.5464514147443,,11940.382816918443,,-1,8292.46187223514,7687.870229237171,,1648.246771295478,7218.818841421226,9672.906872252972,,-1,10766.49198722443,9901.10517112744,,1701.7287844751745,,11904.706485268773,,-1,8292.467141334926,7687.216195418752,,1539.9008269129386,7221.888931559203,9702.997395842045,,-1
"(0.001, 0.8)",8705.81165398981,7941.403374911364,,1103.8267345445827,,9514.113043629523,,-1,6704.79156596723,6048.110058893264,,915.2874946380351,5676.171137591096,7492.379226354062,,-1,8705.830727127635,7939.39565266942,,1105.891109824194,,9640.252031983833,,-1,6704.809420045725,6035.6736915363235,,1051.6087505413266,5689.782808654417,7548.1425836064645,,-1,8705.855629990925,7928.251306972804,,1209.0268444501478,,9514.682471630651,,-1,6704.832731489376,6058.505513103904,,1130.4995487780477,5708.566433181687,7622.508987716063,,-1,8705.900623584776,7929.90051971109,,1282.50916008981,,9734.107042536543,,-1,6704.874849450453,6067.251632971962,,1223.2415014436056,5733.52923038578,7692.064409672851,,-1,8705.905176704726,7920.785488509976,,1289.3536695072391,,9780.41913575112,,-1,6704.8791113483785,6041.874204185902,,1234.782328350557,5736.011252119023,7731.082695128626,,-1
"(0.01, 0.9)",7334.018534663577,6557.598738776802,,966.2984691720901,,8053.459167297625,,-1,5649.058332551603,5175.042161055742,,883.1354270280788,4938.209893075531,6295.094086634265,,-1,7334.034594025166,6554.3799914891315,,954.0365817509974,,8142.649402470817,,-1,5649.073365481127,5162.2518792603,,933.1187277225948,4949.6796514189355,6269.10714656916,,-1,7334.055561948208,6551.609492211326,,1070.1119174494552,,8199.706211576386,,-1,5649.092993449581,5175.401639564872,,899.498054255868,4965.507446809046,6291.350977878136,,-1,7334.09344603416,6546.585060846408,,1190.947942108737,,8294.16418447962,,-1,5649.128456290225,5177.980808619139,,959.7052081911914,4986.54193157829,6361.494259848428,,-1,7334.097279708528,6533.90327744941,,1149.2301436001696,,8231.101219957178,,-1,5649.132044759444,5167.651873447039,,1066.5842161982612,4988.6333586072915,6507.126892071689,,-1
"(0.01, 0.8)",5652.434319095382,5138.53768087448,,667.5369460251874,,6142.091199065589,,-1,4353.442110027871,3948.9785586865387,,506.47382785011064,3729.262369708864,4747.558493105536,,-1,5652.446700374507,5108.277756095529,,725.5550805300676,,6134.761155647466,,-1,4353.4536999583315,3952.853504348276,,641.8406594670895,3738.1013795323697,4796.611136162157,,-1,5652.462866005152,5112.044512771646,,806.4553262235154,,6168.066936975771,,-1,4353.468832523749,3954.6681865576825,,698.2271750059369,3750.298878126132,4789.5000706519795,,-1,5652.492073482668,5098.675469497853,,889.3781678689433,,6223.904458387807,,-1,4353.496173292979,3958.7257528061627,,695.2925684722713,3766.5088987141994,4941.071160733884,,-1,5652.495029128954,5119.660025750137,,870.27709522825,,6221.247278704492,,-1,4353.498939893373,3954.6711081962685,,780.9082309743759,3768.1206396541356,4934.278153830061,,-1
"(0.1, 0.9)",3705.7595640825725,3314.93518117763,,497.16978002108533,,4072.9651077616427,,-1,2854.767465261308,2558.645294594361,,472.5856526514867,2577.480214824269,3167.158720919863,,-1,3705.7676742774825,3314.521192923399,,466.74171260101906,,4059.703496970278,,-1,2854.77505709445,2548.745754017736,,455.2874237028455,2583.27414380886,3252.978294414162,,-1,3705.7782633623497,3315.880887969547,,422.55114750511274,,4180.955177033632,,-1,2854.784969484527,2560.9179075435895,,411.2854066542121,2591.269516462642,3230.9375109568036,,-1,3705.797395338386,3306.6667376835117,,589.0244206466376,,4150.726505096254,,-1,2854.8028786996597,2570.8058827412606,,479.2203664507357,2601.89501550313,3309.109211609458,,-1,3705.7993313958177,3310.718086512216,,592.9212787755355,,4195.096965597675,,-1,2854.8046909252485,2542.5097772469658,,474.11937835664924,2602.9514915633627,3258.9147740093986,,-1
"(0.1, 0.8)",2542.049215927241,2285.0495205222032,,301.9018546700669,,2814.900402269391,,-1,1958.100152837587,1744.3982814979647,,225.56538819312482,1727.5809935147086,2164.213366656634,,-1,2542.0547814281613,2282.055876046186,,243.66254376518526,,2839.9414746544417,,-1,1958.1053626203247,1746.0090727750594,,297.70942367681846,1731.5564476110092,2203.804537268965,,-1,2542.062048030531,2278.317125466579,,255.05338061056315,,2703.955148984004,,-1,1958.1121648507924,1747.253649841679,,182.15723267458935,1737.0424071716855,2185.3454700138836,,-1,2542.0751770652105,2281.465670021954,,388.75212023660083,,2818.848660223444,,-1,1958.1244547836845,1745.0419517305352,,373.0463842600082,1744.3330135433514,2309.2490228343313,,-1,2542.076505655896,2287.455674161733,,390.40433644619293,,2753.8341880585936,,-1,1958.1256983965789,1745.6247857078326,,378.72871220666013,1745.0579070977149,2266.431154527504,,-1
