,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",3292.8196953619795,3315.9381898564975,2299.0404208297778,2388.8980568667703,1489.2097353915656,1491.1514463645378,871.0939316380712,895.7568881255495,881.5732617975264,859.4041387398752
"(0.01, 0.9)",2434.838007699754,2485.5481744018043,1612.7196957080798,1747.6878736598976,1015.884569259549,1058.4146185657553,634.8215892298657,600.5024990746354,633.6959545212254,636.5429098957703
"(0.1, 0.9)",1159.2256026308494,1163.216355845092,869.7452240033222,834.5777532929892,564.1125031266092,496.30843424458044,276.2935462384491,304.2664777195236,267.5421237241756,271.2449547732793
