,CJPL_high__nobgMethod1,CJPL_high__lessbgMethod1,CJPL_high__lessbgMethod2,CJPL_low__nobgMethod1,CJPL_low__lessbgMethod1,CJPL_low__lessbgMethod2,Kamioka_high__nobgMethod1,Kamioka_high__lessbgMethod1,Kamioka_high__lessbgMethod2,Kamioka_low__nobgMethod1,Kamioka_low__lessbgMethod1,Kamioka_low__lessbgMethod2,LNGS_high__nobgMethod1,LNGS_high__lessbgMethod1,LNGS_high__lessbgMethod2,LNGS_low__nobgMethod1,LNGS_low__lessbgMethod1,LNGS_low__lessbgMethod2,SURF_high__nobgMethod1,SURF_high__lessbgMethod1,SURF_high__lessbgMethod2,SURF_low__nobgMethod1,SURF_low__lessbgMethod1,SURF_low__lessbgMethod2,SNOlab_high__nobgMethod1,SNOlab_high__lessbgMethod1,SNOlab_high__lessbgMethod2,SNOlab_low__nobgMethod1,SNOlab_low__lessbgMethod1,SNOlab_low__lessbgMethod2
"(0.001, 0.9)",,286.8480781119142,343.7354538768284,,286.9432338884315,368.160264381121,,219.11099714571117,294.82316420367926,,219.1853815308787,299.9883940061232,,153.8281039109608,217.2997638980238,,153.9623532695487,215.78271040492928,,100.14463681382783,126.89055771392361,,100.22432052028788,127.37210518365012,,98.65749057983888,135.08044942993774,,98.73525349799822,132.63741558724917
"(0.01, 0.9)",,223.13942577922984,265.3890758763442,,223.20541959273328,257.91693623150945,,172.08285922668975,214.5284624088262,,172.13456636129308,198.42069930454127,,122.26453806698183,156.99961148380154,,122.35814031675072,148.58394175884575,,80.92815822346165,95.45065984811674,,80.98396132988276,89.18691447922676,,79.8034523564116,95.3798894321278,,79.85792471915849,84.73873729117024
"(0.1, 0.9)",,149.00090288309383,127.8432791063798,,149.0348065678268,134.18326097673278,,116.99380004793684,91.0521687283836,,117.02042069452891,81.79809577575506,,84.98680664144231,69.49895074763509,,85.03512968507295,64.47917629577513,,57.97576613949308,54.303296395007195,,58.00469117705745,47.1112462558572,,57.26927622656793,56.676717518790355,,57.29751826826838,51.6303035163744
