,CJPL_high,CJPL_low,Kamioka_high,Kamioka_low,LNGS_high,LNGS_low,SURF_high,SURF_low,SNOlab_high,SNOlab_low
"(0.001, 0.9)",3676.3093373326674,3673.0691688400043,2537.0392107578236,2530.4271443546895,1545.5422587883322,1543.6151870873075,911.2535710104204,911.0454277980464,906.3774406728749,905.5714068672137
"(0.01, 0.9)",2703.8950236106066,2697.929372086103,1814.0958406690143,1815.4852148579753,1067.4080265361752,1067.4734733723828,643.8779548527183,643.5245490383467,639.6179282702184,639.5725960924531
"(0.1, 0.9)",1467.3224,1469.2238124614435,1005.8522488553731,1004.6819136899952,597.7622697126013,596.574366379525,361.6486612069466,362.1044917521177,359.552754771336,359.580492645342
